ALV-5000/E-WIN Data
Date :	"14.01.2011"
Time :	"15:20:38"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	     269.74933
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  7.33952E+002	 -7.99628E-005
  7.86381E+002	  1.09505E-005
  8.38810E+002	  3.90734E-006
  9.43667E+002	  2.87462E-005
  1.04852E+003	 -6.83119E-005
  1.15338E+003	  4.37046E-005
  1.25824E+003	  2.16785E-005
  1.36310E+003	 -1.38391E-005
  1.46796E+003	 -2.25270E-005
  1.57281E+003	  1.28190E-005
  1.67767E+003	 -1.30366E-005
  1.88739E+003	 -5.94168E-005
  2.09710E+003	  8.80136E-005
  2.30682E+003	 -1.55991E-005
  2.51653E+003	 -3.70032E-005
  2.72625E+003	  5.11205E-005
  2.93596E+003	 -4.35529E-005
  3.14568E+003	 -3.74336E-005
  3.35539E+003	  2.94541E-005
  3.77482E+003	 -1.80815E-005
  4.19425E+003	  2.59406E-005
  4.61368E+003	 -7.52743E-007
  5.03311E+003	 -2.33669E-005
  5.45254E+003	  2.74175E-005
  5.87197E+003	 -8.46105E-006
  6.29140E+003	  2.39313E-005

"Count Rate"
       0.11719	     277.80814
       0.23438	     263.81699
       0.35156	     280.92392
       0.46875	     258.68661
       0.58594	     272.86557
       0.70313	     273.73627
       0.82031	     286.60913
       0.93750	     265.04623
       1.05469	     269.22052
       1.17188	     269.61319
       1.28906	     270.42416
       1.40625	     263.18530
       1.52344	     261.52069
       1.64063	     269.72418
       1.75781	     270.86804
       1.87500	     258.98538
       1.99219	     269.02417
       2.10938	     263.35602
       2.22656	     271.40582
       2.34375	     258.81467
       2.46094	     277.95325
       2.57813	     268.00836
       2.69531	     274.36795
       2.81250	     262.68164
       2.92969	     274.15454
       3.04688	     281.56415
       3.16406	     274.16309
       3.28125	     274.82892
       3.39844	     264.65356
       3.51563	     276.70694
       3.63281	     274.70941
       3.75000	     278.05569
       3.86719	     253.85503
       3.98438	     257.12445
       4.10156	     270.78268
       4.21875	     278.92639
       4.33594	     271.65338
       4.45313	     271.86679
       4.57031	     264.71332
       4.68750	     277.24472
       4.80469	     278.11545
       4.92188	     284.52628
       5.03906	     266.16449
       5.15625	     277.44107
       5.27344	     280.47147
       5.39063	     258.87442
       5.50781	     259.77927
       5.62500	     279.29346
       5.74219	     274.17163
       5.85938	     277.38132
       5.97656	     270.97049
       6.09375	     265.15720
       6.21094	     265.09744
       6.32813	     266.01083
       6.44531	     279.48126
       6.56250	     255.96352
       6.67969	     254.80257
       6.79688	     265.08038
       6.91406	     271.34607
       7.03125	     287.51401
       7.14844	     265.93402
       7.26563	     264.70477
       7.38281	     267.92300
       7.50000	     263.65479
       7.61719	     262.24631
       7.73438	     253.35138
       7.85156	     271.90094
       7.96875	     271.76437
       8.08594	     264.73892
       8.20313	     266.49741
       8.32031	     261.04266
       8.43750	     283.16898
       8.55469	     276.91180
       8.67188	     269.39978
       8.78906	     260.52194
       8.90625	     258.49881
       9.02344	     280.91537
       9.14063	     272.26801
       9.25781	     267.12912
       9.37500	     272.52411
       9.49219	     272.81433
