ALV-5000/E-WIN Data
ALV-5000/EPP-WIN Data
Date :	"4/16/2010"
Time :	"12:05:33 PM"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	       0.00000
Angle [°]       :	       0.00000
Duration [s]    :	         5
Runs            :	         5
Mode            :	"SINGLE AUTO CH1"
MeanCR0 [kHz]   :	       2.34463
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,   3.165"	" 2,   2.448"	" 3,   2.210"	" 4,   2.875"	" 5,   2.345"	
  2.00000E-002	  1.36817E-001	  1.92402E-001	  7.25958E-002	  4.83246E-002	  1.29433E-001	  2.41329E-001	
  2.20000E-002	  1.88296E-002	  1.42301E-001	  2.23179E-002	 -3.38970E-002	 -4.05892E-002	  4.01576E-003	
  2.40000E-002	  2.21045E-002	  4.20989E-002	 -2.79601E-002	 -1.16118E-001	  1.53722E-001	  5.87803E-002	
  2.60000E-002	  9.25386E-002	  1.42301E-001	  5.55856E-003	 -2.80562E-001	  3.72322E-001	  2.23074E-001	
  2.80000E-002	  6.21192E-002	 -1.28244E-001	  2.23179E-002	  2.94989E-001	  7.98851E-003	  1.13545E-001	
  3.00000E-002	 -6.69449E-003	  9.21998E-002	  5.58365E-002	  7.21382E-003	 -2.84448E-002	 -1.60278E-001	
  3.20000E-002	  9.16098E-002	  7.22274E-002	  1.39166E-001	  1.40617E-001	  5.65663E-002	  4.94731E-002	
  3.60000E-002	  3.81461E-002	 -2.29704E-002	  1.64294E-001	 -4.43483E-002	  1.17288E-001	 -2.35337E-002	
  4.00000E-002	  1.22614E-001	  5.21858E-002	  3.86511E-002	  2.12547E-001	  1.41577E-001	  1.68109E-001	
  4.40000E-002	  1.66371E-001	  2.92685E-001	  1.30790E-001	  2.02271E-001	  2.20516E-001	 -1.44078E-002	
  4.80000E-002	  1.20502E-001	  8.22482E-002	  1.22413E-001	  1.61168E-001	  1.41577E-001	  9.51024E-002	
  5.20000E-002	  2.67674E-002	 -7.93913E-003	  5.54035E-002	 -9.57274E-002	  5.04941E-002	  1.31606E-001	
  5.60000E-002	  5.02190E-002	  6.72170E-002	  3.86511E-002	  1.30341E-001	  1.91629E-003	  1.29697E-002	
  6.00000E-002	  2.74278E-002	  1.42373E-001	 -5.34873E-002	  7.89616E-002	 -1.63004E-002	 -1.44078E-002	
  6.40000E-002	  6.40263E-002	  7.20234E-002	  6.77051E-002	 -1.83020E-002	  6.23417E-002	  1.36363E-001	
  7.20000E-002	  8.23583E-002	  1.77222E-001	  3.00214E-002	  3.30958E-002	  7.70701E-003	  1.63746E-001	
  8.00000E-002	  5.85031E-002	  6.45092E-002	 -5.79845E-002	  6.90742E-002	  8.05533E-002	  1.36363E-001	
  8.80000E-002	  3.11650E-002	  7.20234E-002	 -1.19304E-002	 -1.31623E-002	  8.66238E-002	  2.22706E-002	
  9.60000E-002	  2.48380E-002	 -4.56988E-002	 -2.86773E-002	  7.42140E-002	 -1.65751E-002	  1.40927E-001	
  1.04000E-001	  2.83235E-002	  1.32137E-001	 -7.47314E-002	  3.30958E-002	  7.44828E-002	 -2.33665E-002	
  1.12000E-001	  5.07225E-002	  2.14793E-001	 -2.85977E-002	  5.87947E-002	  3.19891E-002	 -2.33665E-002	
  1.20000E-001	  3.68760E-002	  4.19667E-002	  9.08604E-003	 -4.40009E-002	  9.57296E-002	  8.15988E-002	
  1.28000E-001	  4.31423E-002	  6.91477E-002	  5.09568E-002	 -4.03639E-004	  6.68946E-002	  2.91162E-002	
  1.44000E-001	  6.00816E-002	  8.16817E-002	  1.95537E-002	  6.89771E-002	  8.51062E-002	  4.50891E-002	
  1.60000E-001	  3.19747E-002	  8.66953E-002	  4.04891E-002	 -3.38092E-002	  3.15412E-003	  6.33440E-002	
  1.76000E-001	  2.34460E-002	 -4.86588E-003	  1.32731E-002	 -1.83912E-002	  5.93065E-002	  6.79077E-002	
  1.92000E-001	  5.58200E-002	  7.28398E-002	  5.72374E-002	  8.18254E-002	  2.89538E-002	  3.82436E-002	
  2.08000E-001	  4.74031E-002	  1.50545E-001	 -3.27054E-002	 -8.11261E-003	  5.93804E-002	  6.79077E-002	
  2.24000E-001	  8.96784E-002	  1.81878E-001	  4.05745E-002	  2.16602E-003	  7.60004E-002	  1.47773E-001	
  2.40000E-001	  4.08305E-002	  8.66263E-002	  2.17311E-002	 -3.38092E-002	  1.37775E-002	  1.15827E-001	
  2.56000E-001	  3.15200E-002	  6.81485E-002	  4.00393E-002	  2.76530E-002	  1.42671E-003	  2.03323E-002	
  2.88000E-001	  3.17475E-002	  7.82524E-002	  1.28077E-002	  7.12558E-003	  1.50825E-002	  4.54693E-002	
  3.20000E-001	  3.48035E-002	  1.21462E-001	 -6.04501E-003	  4.18602E-002	  1.81172E-002	 -1.37685E-003	
  3.52000E-001	  5.84356E-002	  1.25225E-001	  1.06300E-002	 -5.61376E-003	  6.74298E-002	  9.45069E-002	
  3.84000E-001	  2.58157E-002	  8.56417E-002	 -2.39304E-002	 -3.04760E-003	  2.18537E-003	  6.82296E-002	
  4.16000E-001	  6.43900E-002	  1.23272E-001	  3.05284E-002	  6.23894E-002	  2.03931E-002	  8.53670E-002	
  4.48000E-001	  5.57265E-002	  1.01321E-001	  6.61361E-002	  2.91228E-002	  4.46701E-002	  3.73823E-002	
  4.80000E-001	  2.17070E-002	  4.29275E-002	 -7.17382E-003	 -1.04765E-002	  2.87383E-002	  5.45197E-002	
  5.12000E-001	  2.60594E-002	  5.57354E-002	  1.11537E-002	 -3.48434E-003	  3.76802E-002	  2.92121E-002	
  5.76000E-001	  4.43122E-002	  8.37437E-002	  2.68630E-002	  2.54282E-002	  4.71654E-002	  3.83607E-002	
  6.40000E-001	  4.20634E-002	  5.32909E-002	  8.18454E-002	 -9.15836E-003	  3.50244E-002	  4.93145E-002	
  7.04000E-001	  5.05596E-002	  1.04464E-001	  4.34634E-003	 -2.26974E-002	  7.44828E-002	  9.22020E-002	
  7.68000E-001	  4.20550E-002	  1.04708E-001	 -3.06645E-003	  1.70096E-002	  2.62980E-002	  6.53258E-002	
  8.32000E-001	  4.97312E-002	  9.02673E-002	  7.91387E-002	  4.77504E-002	  1.02923E-002	  2.12071E-002	
  8.96000E-001	  4.10766E-002	  7.99078E-002	  6.28199E-002	  3.74256E-003	  1.71212E-002	  4.17914E-002	
  9.60000E-001	  3.28676E-002	  7.30695E-002	  4.44954E-002	 -3.66121E-002	  4.10222E-002	  4.23632E-002	
  1.02400E+000	  4.27441E-002	  9.55551E-002	  2.32373E-002	  1.43079E-002	  2.97646E-002	  5.08554E-002	
  1.15200E+000	  4.65972E-002	  7.71225E-002	  3.18689E-002	  3.51126E-002	  3.71662E-002	  5.17156E-002	
  1.28000E+000	  3.96902E-002	  9.91785E-002	  1.26917E-002	 -2.42630E-003	  2.98365E-002	  5.91705E-002	
  1.40800E+000	  2.25176E-002	  6.78275E-002	  1.62483E-003	 -1.92996E-002	  1.01464E-002	  5.22891E-002	
  1.53600E+000	  3.63627E-002	  1.08001E-001	  3.14382E-002	 -5.85660E-003	  3.05237E-002	  1.77071E-002	
  1.66400E+000	  3.84353E-002	  6.91558E-002	  2.17619E-002	  3.22320E-002	  1.86385E-002	  5.03884E-002	
  1.79200E+000	  3.64775E-002	  8.83773E-002	  1.67930E-002	 -4.89639E-003	  2.56145E-002	  5.64993E-002	
  1.92000E+000	  2.47477E-002	  6.35516E-002	  7.63981E-003	  2.51904E-002	 -2.47935E-003	  2.98359E-002	
  2.01600E+000	  3.70729E-002	  7.33305E-002	  2.91262E-002	  1.82647E-002	  1.47825E-002	  4.98607E-002	
  2.27200E+000	  3.87660E-002	  9.44798E-002	  3.48591E-002	  1.71965E-002	  2.23380E-002	  2.49564E-002	
  2.52800E+000	  3.75413E-002	  9.54184E-002	  2.21193E-002	  9.41416E-003	  2.16175E-002	  3.91373E-002	
  2.78400E+000	  3.22227E-002	  6.68483E-002	  2.31385E-002	 -1.11487E-003	  3.48427E-002	  3.73988E-002	
  3.04000E+000	  4.22562E-002	  8.99211E-002	  2.59869E-002	  2.02484E-002	  2.05948E-002	  5.45297E-002	
  3.29600E+000	  3.93031E-002	  8.35151E-002	  1.93165E-002	  3.55982E-002	  1.63871E-002	  4.16984E-002	
  3.55200E+000	  2.92451E-002	  7.92006E-002	  1.14646E-002	 -5.75861E-003	  2.60804E-002	  3.52387E-002	
  3.80800E+000	  3.57038E-002	  8.67765E-002	  8.02512E-003	  1.89639E-002	  3.03573E-002	  3.43961E-002	
  4.06400E+000	  3.39536E-002	  7.88682E-002	  1.13555E-002	  2.12280E-002	  1.97841E-002	  3.85321E-002	
  4.57600E+000	  3.08690E-002	  7.54445E-002	  1.16576E-002	  2.12280E-002	  9.22444E-003	  3.67906E-002	
  5.08800E+000	  3.28471E-002	  8.54243E-002	  5.26211E-003	  6.34946E-003	  2.54836E-002	  4.17161E-002	
  5.60000E+000	  3.27385E-002	  8.78094E-002	  1.72829E-002	  8.49940E-003	  2.66236E-002	  2.34774E-002	
  6.11200E+000	  3.01786E-002	  6.65522E-002	  1.55144E-002	 -4.14346E-004	  2.54138E-002	  4.38271E-002	
  6.62400E+000	  3.37954E-002	  8.21102E-002	  2.42523E-002	  1.17310E-002	  2.09012E-002	  2.99825E-002	
  7.13600E+000	  2.68653E-002	  8.33325E-002	 -4.94529E-004	  1.96475E-003	  2.21807E-002	  2.73433E-002	
  7.64800E+000	  2.94125E-002	  7.93427E-002	  1.87209E-002	  6.40703E-003	  2.26690E-002	  1.99228E-002	
  8.16000E+000	  3.13381E-002	  7.88296E-002	  2.66026E-002	 -2.74865E-003	  1.67603E-002	  3.72467E-002	
  9.18400E+000	  3.10157E-002	  8.02608E-002	  2.12771E-002	  8.29085E-003	  1.18934E-002	  3.33565E-002	
  1.02080E+001	  3.26940E-002	  8.54281E-002	  1.20991E-002	  1.09440E-002	  2.25401E-002	  3.24589E-002	
  1.12320E+001	  2.92591E-002	  6.58941E-002	  1.51999E-002	  5.03312E-003	  1.51763E-002	  4.49923E-002	
  1.22560E+001	  3.37947E-002	  8.48389E-002	  1.28003E-002	  1.48212E-002	  2.99491E-002	  2.65641E-002	
  1.32800E+001	  2.63205E-002	  7.37556E-002	  1.39018E-002	  1.04437E-002	  1.98841E-002	  1.36176E-002	
  1.43040E+001	  3.64734E-002	  8.55121E-002	  2.13767E-002	  1.18056E-002	  2.47531E-002	  3.89195E-002	
  1.53280E+001	  3.39878E-002	  8.33734E-002	  2.05922E-002	  1.45622E-002	  2.95745E-002	  2.18366E-002	
  1.63520E+001	  3.40055E-002	  8.33163E-002	  1.76223E-002	  1.33737E-002	  2.86685E-002	  2.70467E-002	
  1.84000E+001	  3.31681E-002	  7.33042E-002	  1.83598E-002	  1.61923E-002	  2.74062E-002	  3.05779E-002	
  2.04480E+001	  2.98241E-002	  7.63456E-002	  1.22378E-002	  1.15575E-002	  2.09364E-002	  2.80434E-002	
  2.24960E+001	  3.09734E-002	  7.80054E-002	  1.89266E-002	  1.10402E-002	  2.09604E-002	  2.59342E-002	
  2.45440E+001	  2.46661E-002	  7.85522E-002	  4.04909E-003	  9.83715E-003	  1.82182E-002	  1.26738E-002	
  2.65920E+001	  3.07410E-002	  8.06682E-002	  2.01687E-002	  8.47925E-003	  2.18718E-002	  2.25169E-002	
  2.86400E+001	  3.11115E-002	  7.47623E-002	  6.97232E-003	  8.68808E-003	  3.25404E-002	  3.25945E-002	
  3.06880E+001	  3.11678E-002	  8.00434E-002	  1.81144E-002	  1.17098E-002	  2.30037E-002	  2.29679E-002	
  3.27360E+001	  3.28789E-002	  7.39415E-002	  1.81527E-002	  1.35724E-002	  2.57744E-002	  3.29534E-002	
  3.68320E+001	  3.08746E-002	  7.47740E-002	  1.31552E-002	  1.54968E-002	  2.61678E-002	  2.47794E-002	
  4.09280E+001	  3.13097E-002	  7.92287E-002	  1.53506E-002	  9.60661E-003	  2.40877E-002	  2.82750E-002	
  4.50240E+001	  3.00991E-002	  7.68370E-002	  1.49164E-002	  1.14692E-002	  1.88393E-002	  2.84333E-002	
  4.91200E+001	  3.00051E-002	  7.69914E-002	  1.49972E-002	  9.69359E-003	  2.38542E-002	  2.44890E-002	
  5.32160E+001	  3.17167E-002	  7.84750E-002	  1.94057E-002	  1.48475E-002	  1.70896E-002	  2.87654E-002	
  5.73120E+001	  3.20919E-002	  7.68007E-002	  1.46455E-002	  1.35660E-002	  2.57199E-002	  2.97275E-002	
  6.14080E+001	  2.96022E-002	  7.39677E-002	  8.10341E-003	  1.27638E-002	  2.68004E-002	  2.63759E-002	
  6.55040E+001	  2.99767E-002	  7.31322E-002	  1.23756E-002	  9.93143E-003	  2.53648E-002	  2.90795E-002	
  7.36960E+001	  3.00963E-002	  7.58666E-002	  1.47893E-002	  1.06605E-002	  1.87950E-002	  3.03700E-002	
  8.18880E+001	  3.05618E-002	  7.45494E-002	  1.62800E-002	  9.68745E-003	  1.97926E-002	  3.24995E-002	
  9.00800E+001	  2.98385E-002	  7.23446E-002	  1.48435E-002	  1.12929E-002	  2.30152E-002	  2.76960E-002	
  9.82720E+001	  2.87281E-002	  7.31175E-002	  1.24748E-002	  6.28048E-003	  2.05998E-002	  3.11677E-002	
  1.06464E+002	  2.83111E-002	  7.23595E-002	  1.10656E-002	  1.17809E-002	  1.99589E-002	  2.63904E-002	
  1.14656E+002	  2.89349E-002	  7.29433E-002	  1.49819E-002	  9.13299E-003	  1.97393E-002	  2.78768E-002	
  1.22848E+002	  2.78246E-002	  7.23129E-002	  1.04344E-002	  1.15277E-002	  2.12349E-002	  2.36131E-002	
  1.31040E+002	  2.63156E-002	  6.41934E-002	  1.45632E-002	  4.94183E-003	  2.10159E-002	  2.68637E-002	
  1.47424E+002	  2.53460E-002	  6.42709E-002	  9.25796E-003	  6.63848E-003	  1.82487E-002	  2.83137E-002	
  1.63808E+002	  2.52909E-002	  6.49995E-002	  1.12868E-002	  4.93127E-003	  2.08482E-002	  2.43885E-002	
  1.80192E+002	  2.50623E-002	  6.46317E-002	  1.05220E-002	  4.72916E-003	  1.74837E-002	  2.79447E-002	
  1.96576E+002	  2.44128E-002	  6.20150E-002	  1.11892E-002	  3.67033E-003	  1.77755E-002	  2.74142E-002	
  2.12960E+002	  2.40872E-002	  6.40709E-002	  9.50372E-003	  4.59736E-003	  1.88341E-002	  2.34301E-002	
  2.29344E+002	  2.41352E-002	  6.41012E-002	  8.21554E-003	  6.17923E-003	  1.97937E-002	  2.23861E-002	
  2.45728E+002	  2.38975E-002	  6.37714E-002	  8.31178E-003	  6.08794E-003	  2.00978E-002	  2.12188E-002	
  2.62112E+002	  2.12126E-002	  5.30295E-002	  9.09508E-003	  4.88546E-003	  1.83434E-002	  2.07097E-002	
  2.94880E+002	  2.21370E-002	  5.41452E-002	  9.57063E-003	  7.41087E-003	  1.64837E-002	  2.30747E-002	
