# name: urea
# temperature: 20°C
# reference: CRC handbook 90th edition 2009, p. 8-76
#! concentration [M], density [g/cm^3], refractive index, viscosity [mPa*s]
0.000,	0.9982,	1.3339,	1.0016
0.083,	0.9995,	1.3337,	1.007
0.167,	1.0007,	1.3344,	1.010
0.334,	1.0033,	1.3358,	1.012
0.502,	1.0058,	1.3372,	1.017
0.672,	1.0085,	1.3387,	1.025
0.842,	1.0111,	1.3401,	1.033
1.013,	1.0138,	1.3416,	1.041
1.185,	1.0165,	1.3431,	1.049
1.358,	1.0192,	1.3446,	1.057
1.531,	1.0220,	1.3461,	1.065
1.706,	1.0248,	1.3476,	1.074
2.059,	1.0304,	1.3506,	1.091
2.415,	1.0360,	1.3537,	1.109
2.775,	1.0417,	1.3568,	1.130
3.139,	1.0473,	1.3599,	1.153
3.506,	1.0530,	1.3629,	1.178
3.878,	1.0586,	1.3661,	1.205
4.253,	1.0643,	1.3692,	1.235
4.632,	1.0699,	1.3723,	1.266
5.014,	1.0756,	1.3754,	1.298
5.401,	1.0812,	1.3785,	1.332
5.791,	1.0869,	1.3817,	1.371
6.185,	1.0926,	1.3848,	1.413
6.584,	1.0984,	1.3881,	1.459
6.988,	1.1044,	1.3913,	1.509
7.397,	1.1106,	1.3947,	1.565
