# name: magnesium chloride
# temperature: 20°C
# reference: CRC handbook 90th edition 2009, p. 8-61
#! concentration [M], density [g/cm^3], refractive index, viscosity [mPa*s]
0.000,	0.9982,	1.3339,	1.0016
0.053,	1.0022,	1.3343,	1.024
0.106,	1.0062,	1.3356,	1.046
0.213,	1.0144,	1.3381,	1.091
0.322,	1.0226,	1.3406,	1.139
0.433,	1.0309,	1.3432,	1.188
0.546,	1.0394,	1.3457,	1.241
0.660,	1.0479,	1.3483,	1.298
0.777,	1.0564,	1.3508,	1.358
0.895,	1.0651,	1.3534,	1.423
1.015,	1.0738,	1.3560,	1.493
1.137,	1.0826,	1.3587,	1.570
1.387,	1.1005,	1.3641,	1.745
1.645,	1.1189,	1.3695,	1.956
1.911,	1.1372,	1.3749,	2.207
2.184,	1.1553,	1.3804,	2.507
2.467,	1.1742,	1.3859,	2.867
2.758,	1.1938,	1.3915,	3.323
#3.060,	1.2140,	1.3972,	3.917
#3.371,	1.2346,	1.4030,	4.694
#3.692,	1.2555,	1.4089,	5.709
#4.022,	1.2763,	1.4148,	7.017
