# name: magnesium chloride
# temperature: 20°C
# reference: CRC handbook 90th edition 2009, p. 8-61
#! concentration [M], density [g/cm^3], refractive index, viscosity [mPa*s]
0.000,	0.9982,	1.3339,	1.0016
0.042,	1.0033,	1.3340,	1.027
0.084,	1.0084,	1.3350,	1.054
0.169,	1.0186,	1.3371,	1.112
0.256,	1.0289,	1.3391,	1.177
0.345,	1.0392,	1.3411,	1.249
0.436,	1.0497,	1.3431,	1.328
0.528,	1.0602,	1.3451,	1.411
0.623,	1.0708,	1.3471,	1.498
0.719,	1.0816,	1.3492,	1.593
0.817,	1.0924,	1.3512,	1.702
0.917,	1.1034,	1.3532,	1.829
1.122,	1.1257,	1.3572,	2.104
1.336,	1.1484,	1.3613,	2.412
1.557,	1.1717,	1.3654,	2.809
1.788,	1.1955,	1.3694,	3.360
2.027,	1.2198,	1.3735,	4.147
2.275,	1.2447,	1.3776,	5.199
2.532,	1.2701,	1.3817,	6.498
2.800,	1.2961,	1.3858,	8.066
