ALV-5000/E-WIN Data
Date :	"24-Feb-12"
Time :	"19:30:32"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     488.00000
Angle [°]       :	      90.00000
Duration [s]    :	        10
Runs            :	         3
Mode            :	"DUAL AUTO CH0"
MeanCR0 [kHz]   :	    2652.99219
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average(0)"	"Run  1"	"Run  2"	"Run  3"	"Average(1)"	" 1,   0.000"	" 2,   0.000"	" 3,   0.000"	
  3.20000E-002	  1.00245E-003	  8.96002E-004	  9.85834E-004	  1.12551E-003	  1.98060E-003	  1.86683E-003	  1.89989E-003	  2.17508E-003	
  3.52000E-002	  9.42255E-004	  8.15447E-004	  9.61102E-004	  1.05022E-003	  1.91567E-003	  1.65538E-003	  1.89571E-003	  2.19592E-003	
  3.84000E-002	  9.72200E-004	  7.93197E-004	  9.46161E-004	  1.17724E-003	  1.95347E-003	  1.93261E-003	  1.75664E-003	  2.17114E-003	
  4.16000E-002	  1.03947E-003	  9.32175E-004	  9.41723E-004	  1.24452E-003	  1.90511E-003	  1.91008E-003	  1.72623E-003	  2.07901E-003	
  4.48000E-002	  1.01164E-003	  1.03743E-003	  8.71191E-004	  1.12629E-003	  1.92027E-003	  1.82016E-003	  1.72641E-003	  2.21423E-003	
  4.80000E-002	  8.84363E-004	  7.43374E-004	  9.49405E-004	  9.60309E-004	  1.76502E-003	  1.57394E-003	  1.79867E-003	  1.92245E-003	
  5.12000E-002	  9.64877E-004	  8.76269E-004	  9.29525E-004	  1.08884E-003	  1.80380E-003	  1.64385E-003	  1.78241E-003	  1.98514E-003	
  5.76000E-002	  9.33950E-004	  8.55964E-004	  8.59499E-004	  1.08639E-003	  1.77642E-003	  1.67741E-003	  1.68679E-003	  1.96507E-003	
  6.40000E-002	  9.62885E-004	  8.52901E-004	  9.25523E-004	  1.11023E-003	  1.73736E-003	  1.58977E-003	  1.69323E-003	  1.92908E-003	
  7.04000E-002	  9.43710E-004	  8.47649E-004	  8.64992E-004	  1.11849E-003	  1.71232E-003	  1.65659E-003	  1.58702E-003	  1.89334E-003	
