ALV-5000/E-WIN Data
Date :	"20-Dec-12"
Time :	"14:11:37"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     500.00000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         6
Mode            :	"DUAL CROSS CH0"
MeanCR0 [kHz]   :	      64.63463
MeanCR1 [kHz]   :	      64.63459

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average(0)"	"Run  1"	"Run  2"	"Run  3"	"Run  4"	"Run  5"	"Run  6"	"Average(1)"	" 1,  65.455"	" 2,  66.652"	" 3,  66.025"	" 4,  66.996"	" 5,  66.167"	" 6,  64.635"	
  9.60000E-003	  9.00924E-002	  9.71003E-002	  8.06110E-002	  8.52069E-002	  9.18227E-002	  8.94331E-002	  9.63802E-002	  8.96826E-002	  1.08073E-001	  8.79134E-002	  7.32731E-002	  9.07411E-002	  7.18951E-002	  1.06200E-001	
  1.04000E-002	  8.89876E-002	  1.05443E-001	  1.02115E-001	  7.75497E-002	  8.30307E-002	  8.06641E-002	  8.51237E-002	  8.82195E-002	  1.04524E-001	  8.96158E-002	  6.29853E-002	  1.02238E-001	  7.81719E-002	  9.17824E-002	
  1.12000E-002	  8.82951E-002	  1.10559E-001	  9.31997E-002	  7.42143E-002	  8.14076E-002	  8.43563E-002	  8.60338E-002	  8.79356E-002	  9.78865E-002	  8.22238E-002	  8.97149E-002	  8.25353E-002	  9.25715E-002	  8.26814E-002	
  1.20000E-002	  8.16306E-002	  1.00603E-001	  8.54494E-002	  7.42143E-002	  8.73591E-002	  7.47566E-002	  6.74008E-002	  8.99891E-002	  1.14986E-001	  8.51358E-002	  7.67494E-002	  9.18232E-002	  8.34333E-002	  8.78067E-002	
  1.28000E-002	  8.46469E-002	  1.00869E-001	  8.37479E-002	  8.10691E-002	  8.90047E-002	  7.50313E-002	  7.81595E-002	  8.98886E-002	  1.02228E-001	  8.90349E-002	  8.50606E-002	  8.96810E-002	  8.21367E-002	  9.11904E-002	
  1.44000E-002	  9.25191E-002	  1.16379E-001	  8.49575E-002	  7.84619E-002	  9.67146E-002	  8.45156E-002	  9.40863E-002	  9.01906E-002	  1.03795E-001	  9.25964E-002	  8.69161E-002	  9.20255E-002	  8.01521E-002	  8.56580E-002	
  1.60000E-002	  8.51277E-002	  1.10272E-001	  8.63687E-002	  7.01706E-002	  7.82290E-002	  7.98312E-002	  8.58953E-002	  9.04857E-002	  1.06330E-001	  9.03116E-002	  8.56008E-002	  8.88469E-002	  8.70519E-002	  8.47724E-002	
  1.76000E-002	  8.70748E-002	  1.08359E-001	  8.61447E-002	  7.77103E-002	  7.39457E-002	  8.36157E-002	  9.26732E-002	  8.92221E-002	  1.03242E-001	  8.33229E-002	  8.07158E-002	  9.61059E-002	  8.13060E-002	  9.06401E-002	
  1.92000E-002	  8.69307E-002	  1.11608E-001	  8.61895E-002	  7.98008E-002	  7.79810E-002	  8.38695E-002	  8.21352E-002	  9.36500E-002	  1.11884E-001	  8.73549E-002	  8.05044E-002	  9.47308E-002	  9.81747E-002	  8.92510E-002	
  2.08000E-002	  8.57380E-002	  1.07506E-001	  7.80808E-002	  7.61131E-002	  8.46339E-002	  8.11927E-002	  8.69012E-002	  8.99290E-002	  1.11953E-001	  9.36044E-002	  7.66523E-002	  8.74492E-002	  7.92983E-002	  9.06162E-002	
  2.24000E-002	  8.72690E-002	  1.03565E-001	  8.41511E-002	  8.22670E-002	  8.62796E-002	  8.05696E-002	  8.67815E-002	  9.50058E-002	  1.16378E-001	  9.61586E-002	  8.30646E-002	  8.91625E-002	  8.86673E-002	  9.66037E-002	
  2.40000E-002	  8.95327E-002	  1.02966E-001	  8.95943E-002	  7.83915E-002	  9.17126E-002	  8.25772E-002	  9.19547E-002	  8.63146E-002	  1.10502E-001	  7.52825E-002	  8.04809E-002	  9.63990E-002	  7.00448E-002	  8.51789E-002	
  2.56000E-002	  8.69992E-002	  1.01934E-001	  8.39639E-002	  8.17081E-002	  8.38234E-002	  8.47886E-002	  8.57770E-002	  8.72197E-002	  1.10095E-001	  8.55425E-002	  7.71162E-002	  8.82968E-002	  7.79634E-002	  8.43047E-002	
  2.88000E-002	  8.85070E-002	  1.06105E-001	  9.20390E-002	  7.88895E-002	  8.82757E-002	  8.24464E-002	  8.32862E-002	  8.88014E-002	  1.09196E-001	  7.83852E-002	  8.38444E-002	  8.79704E-002	  8.18742E-002	  9.15381E-002	
  3.20000E-002	  8.84442E-002	  1.08479E-001	  8.80519E-002	  7.99113E-002	  8.77572E-002	  8.17426E-002	  8.47232E-002	  9.05949E-002	  1.09842E-001	  8.72897E-002	  8.03799E-002	  9.00219E-002	  8.53125E-002	  9.07238E-002	
  3.52000E-002	  8.69217E-002	  1.08536E-001	  8.58231E-002	  7.86755E-002	  8.98199E-002	  7.55929E-002	  8.30827E-002	  8.88457E-002	  1.10936E-001	  8.68081E-002	  8.22237E-002	  8.42170E-002	  8.46433E-002	  8.42454E-002	
  3.84000E-002	  8.77087E-002	  1.04789E-001	  8.22727E-002	  7.58217E-002	  8.95269E-002	  8.55386E-002	  8.83037E-002	  8.69673E-002	  1.09150E-001	  7.98642E-002	  7.92525E-002	  8.82071E-002	  7.96710E-002	  8.56584E-002	
  4.16000E-002	  8.82550E-002	  1.08110E-001	  8.44343E-002	  8.46297E-002	  8.12310E-002	  7.70466E-002	  9.40784E-002	  8.69454E-002	  1.08839E-001	  8.23388E-002	  8.45614E-002	  8.43855E-002	  8.05710E-002	  8.09768E-002	
  4.48000E-002	  8.94054E-002	  1.04091E-001	  9.27222E-002	  7.89338E-002	  8.83885E-002	  8.12118E-002	  9.10846E-002	  8.93236E-002	  1.11398E-001	  8.30780E-002	  7.60587E-002	  8.88829E-002	  8.35362E-002	  9.29877E-002	
  4.80000E-002	  8.59630E-002	  1.07145E-001	  8.03351E-002	  7.92862E-002	  8.27188E-002	  7.81543E-002	  8.81388E-002	  8.84564E-002	  1.08068E-001	  7.59996E-002	  8.98456E-002	  8.66860E-002	  8.42401E-002	  8.58991E-002	
  5.12000E-002	  8.64331E-002	  1.09625E-001	  7.66254E-002	  7.75806E-002	  8.50564E-002	  8.13116E-002	  8.83997E-002	  8.82378E-002	  1.03500E-001	  8.69182E-002	  8.38647E-002	  8.93960E-002	  7.80929E-002	  8.76547E-002	
  5.76000E-002	  8.73122E-002	  1.09241E-001	  8.54790E-002	  7.77333E-002	  8.52819E-002	  8.20070E-002	  8.41306E-002	  8.79529E-002	  1.07328E-001	  8.43305E-002	  7.94970E-002	  8.67584E-002	  8.04482E-002	  8.93557E-002	
  6.40000E-002	  8.93002E-002	  1.12577E-001	  8.43590E-002	  8.15501E-002	  8.95087E-002	  7.82689E-002	  8.95373E-002	  8.89945E-002	  1.08152E-001	  8.92529E-002	  7.82175E-002	  8.90916E-002	  8.39567E-002	  8.52962E-002	
  7.04000E-002	  8.73300E-002	  1.10981E-001	  8.26174E-002	  7.89253E-002	  8.53326E-002	  8.04002E-002	  8.57233E-002	  8.87895E-002	  1.10445E-001	  8.39889E-002	  7.94330E-002	  8.73902E-002	  8.03282E-002	  9.11519E-002	
  7.68000E-002	  8.64648E-002	  1.07006E-001	  8.47174E-002	  7.98910E-002	  8.20131E-002	  7.71870E-002	  8.79746E-002	  8.80009E-002	  1.07594E-001	  7.99961E-002	  7.81112E-002	  8.81567E-002	  8.39158E-002	  9.02316E-002	
  8.32000E-002	  8.43138E-002	  1.04298E-001	  7.67262E-002	  7.95563E-002	  8.38729E-002	  7.43949E-002	  8.70345E-002	  8.74727E-002	  1.07421E-001	  8.82443E-002	  7.36133E-002	  8.87371E-002	  8.08531E-002	  8.59674E-002	
  8.96000E-002	  8.59703E-002	  1.03157E-001	  8.06126E-002	  7.91453E-002	  8.62850E-002	  8.03656E-002	  8.62562E-002	  8.84600E-002	  1.03624E-001	  8.49734E-002	  7.96380E-002	  9.03772E-002	  8.12344E-002	  9.09130E-002	
  9.60000E-002	  8.40765E-002	  1.05473E-001	  7.95038E-002	  7.77536E-002	  8.49381E-002	  7.21567E-002	  8.46336E-002	  8.67788E-002	  1.00369E-001	  8.75544E-002	  8.15123E-002	  8.23298E-002	  8.22451E-002	  8.66625E-002	
