ALV-5000/E-WIN Data
Date :	"20-Dec-12"
Time :	"15:32:09"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     500.00000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         6
Mode            :	"DUAL AUTO CH0"
MeanCR0 [kHz]   :	       1.34873
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average(0)"	"Run  1"	"Run  2"	"Run  3"	"Run  4"	"Run  5"	"Run  6"	"Average(1)"	" 1,   0.000"	" 2,   0.000"	" 3,   0.000"	" 4,   0.000"	" 5,   0.000"	" 6,   0.000"	
  9.60000E-003	  3.55110E-001	  4.07556E-001	  4.13495E-001	  4.93718E-001	  4.26323E-001	  3.59770E-001	  2.97984E-002	  3.49608E-001	  3.67064E-001	  3.48633E-001	  3.42492E-001	  3.45383E-001	  3.47072E-001	  3.47002E-001	
  1.04000E-002	  3.30022E-001	  2.69108E-001	  4.57667E-001	  2.70775E-001	  4.26323E-001	  1.75394E-001	  3.80866E-001	  3.49589E-001	  3.48264E-001	  3.56411E-001	  3.39906E-001	  3.50607E-001	  3.42648E-001	  3.59698E-001	
  1.12000E-002	  4.19285E-001	  3.84481E-001	  5.01839E-001	  5.16012E-001	  7.43283E-001	  1.06253E-001	  2.63843E-001	  3.44346E-001	  3.58404E-001	  3.47630E-001	  3.40975E-001	  3.38923E-001	  3.35881E-001	  3.44260E-001	
  1.20000E-002	  2.81295E-001	  5.22930E-001	  2.36808E-001	  4.49129E-001	  1.99922E-001	 -5.50753E-002	  3.34057E-001	  3.39763E-001	  3.52130E-001	  3.30484E-001	  3.45650E-001	  3.33851E-001	  3.24509E-001	  3.51954E-001	
  1.28000E-002	  3.93481E-001	  5.46004E-001	  3.47238E-001	  4.71423E-001	  3.58403E-001	  1.98441E-001	  4.39377E-001	  3.32561E-001	  3.37369E-001	  3.28561E-001	  3.32059E-001	  3.32246E-001	  3.25801E-001	  3.39328E-001	
  1.44000E-002	  3.57477E-001	  1.76809E-001	  3.91409E-001	  4.93718E-001	  4.94243E-001	  3.48246E-001	  2.40439E-001	  3.26347E-001	  3.31771E-001	  3.20391E-001	  3.24450E-001	  3.24019E-001	  3.22741E-001	  3.34707E-001	
  1.60000E-002	  3.18149E-001	  3.03720E-001	  1.81594E-001	  3.26510E-001	  3.58403E-001	  4.86528E-001	  2.52141E-001	  3.19655E-001	  3.21016E-001	  3.20196E-001	  3.17016E-001	  3.18367E-001	  3.12771E-001	  3.28563E-001	
  1.76000E-002	  2.17006E-001	  3.38332E-001	  9.32502E-002	  5.89789E-002	  1.99922E-001	  3.82817E-001	  2.28737E-001	  3.11715E-001	  3.13637E-001	  3.10742E-001	  3.07978E-001	  3.05951E-001	  3.14276E-001	  3.17708E-001	
  1.92000E-002	  3.51686E-001	  2.34496E-001	  3.47238E-001	  3.93393E-001	  3.81043E-001	  2.56058E-001	  4.97889E-001	  2.97938E-001	  3.03898E-001	  2.99284E-001	  2.99824E-001	  2.97259E-001	  2.91429E-001	  2.95934E-001	
  2.08000E-002	  2.09137E-001	  3.49869E-001	  1.92637E-001	  3.04216E-001	  1.43322E-001	  1.06253E-001	  1.58523E-001	  2.96593E-001	  2.97786E-001	  2.87862E-001	  2.93284E-001	  3.02545E-001	  2.98247E-001	  2.99832E-001	
