ALV-5000/E-WIN Data
Date :	"06.12.2013"
Time :	"12:58:32"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     488.00000
Angle [°]       :	       0.00000
Duration [s]    :	        20
Runs            :	         6
Mode            :	"SINGLE CROSS CH0"
MeanCR0 [kHz]   :	     100.35390
MeanCR1 [kHz]   :	      96.75777

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,  99.876"	" 2,  98.214"	" 3,  99.981"	" 4, 101.263"	" 5, 100.263"	" 6, 100.354"	
  2.24000E-002	  7.31023E-002	  6.94819E-002	  7.13508E-002	  7.47304E-002	  7.43839E-002	  7.55626E-002	  7.31041E-002	
  2.40000E-002	  7.18926E-002	  6.93409E-002	  7.18022E-002	  7.04189E-002	  7.05521E-002	  7.20105E-002	  7.72309E-002	
  2.56000E-002	  7.22365E-002	  6.84355E-002	  7.24288E-002	  7.16930E-002	  6.98632E-002	  7.29204E-002	  7.80779E-002	
  2.88000E-002	  7.27662E-002	  7.12783E-002	  7.17356E-002	  7.23572E-002	  7.08143E-002	  7.38526E-002	  7.65594E-002	
  3.20000E-002	  7.19316E-002	  7.19788E-002	  7.22956E-002	  7.15951E-002	  7.06831E-002	  7.36387E-002	  7.13985E-002	
  3.52000E-002	  7.20058E-002	  6.94824E-002	  7.38621E-002	  7.20128E-002	  7.17028E-002	  7.19949E-002	  7.29798E-002	
  3.84000E-002	  7.15829E-002	  6.92135E-002	  7.27921E-002	  7.27586E-002	  6.73900E-002	  7.42100E-002	  7.31332E-002	
  4.16000E-002	  7.21467E-002	  6.94649E-002	  7.46411E-002	  7.03075E-002	  6.94739E-002	  7.16978E-002	  7.72950E-002	
  4.48000E-002	  7.11999E-002	  6.78864E-002	  7.32753E-002	  7.16767E-002	  6.87804E-002	  7.21483E-002	  7.34324E-002	
  4.80000E-002	  7.10345E-002	  7.06057E-002	  7.01658E-002	  7.03385E-002	  6.91774E-002	  7.33003E-002	  7.26195E-002	
  5.12000E-002	  7.01802E-002	  6.79327E-002	  7.24908E-002	  6.80241E-002	  6.80113E-002	  7.29055E-002	  7.17168E-002	
  5.76000E-002	  7.01489E-002	  6.83704E-002	  7.03216E-002	  6.95007E-002	  7.00351E-002	  7.03034E-002	  7.23623E-002	
  6.40000E-002	  6.91145E-002	  6.60272E-002	  7.04846E-002	  6.82142E-002	  6.75388E-002	  6.93299E-002	  7.30924E-002	
  7.04000E-002	  6.83516E-002	  6.62223E-002	  6.83964E-002	  6.90987E-002	  6.67544E-002	  6.90872E-002	  7.05509E-002	
  7.68000E-002	  6.87597E-002	  6.58251E-002	  6.86617E-002	  6.92529E-002	  6.71003E-002	  7.00169E-002	  7.17012E-002	
  8.32000E-002	  6.72885E-002	  6.67053E-002	  6.69389E-002	  6.71092E-002	  6.59639E-002	  6.64364E-002	  7.05776E-002	
  8.96000E-002	  6.71802E-002	  6.58333E-002	  6.83989E-002	  6.52164E-002	  6.48256E-002	  6.86184E-002	  7.01886E-002	
  9.60000E-002	  6.68875E-002	  6.59996E-002	  6.63178E-002	  6.65704E-002	  6.52053E-002	  6.75715E-002	  6.96604E-002	
  1.02400E-001	  6.53904E-002	  6.23733E-002	  6.48623E-002	  6.52797E-002	  6.39340E-002	  6.65175E-002	  6.93759E-002	
  1.15200E-001	  6.48690E-002	  6.24316E-002	  6.55117E-002	  6.52124E-002	  6.26455E-002	  6.53118E-002	  6.81011E-002	
  1.28000E-001	  6.39855E-002	  6.19502E-002	  6.52969E-002	  6.33964E-002	  6.26139E-002	  6.40594E-002	  6.65959E-002	
  1.40800E-001	  6.31453E-002	  6.07449E-002	  6.37213E-002	  6.30448E-002	  6.26381E-002	  6.40689E-002	  6.46536E-002	
  1.53600E-001	  6.23030E-002	  5.96010E-002	  6.37567E-002	  6.22670E-002	  6.12983E-002	  6.28032E-002	  6.40920E-002	
  1.66400E-001	  6.12546E-002	  5.85283E-002	  6.24330E-002	  6.12908E-002	  6.04548E-002	  6.12071E-002	  6.36134E-002	
  1.79200E-001	  6.05045E-002	  5.83284E-002	  6.13132E-002	  5.99004E-002	  5.93573E-002	  6.14362E-002	  6.26916E-002	
  1.92000E-001	  5.96912E-002	  5.74011E-002	  5.92094E-002	  5.95549E-002	  5.87106E-002	  5.94873E-002	  6.37839E-002	
  2.04800E-001	  5.88312E-002	  5.66926E-002	  5.92622E-002	  5.80255E-002	  5.76127E-002	  6.00371E-002	  6.13574E-002	
  2.30400E-001	  5.68974E-002	  5.49855E-002	  5.78885E-002	  5.62740E-002	  5.45757E-002	  5.81294E-002	  5.95313E-002	
  2.56000E-001	  5.59571E-002	  5.34516E-002	  5.68473E-002	  5.52195E-002	  5.39453E-002	  5.78394E-002	  5.84397E-002	
  2.81600E-001	  5.40948E-002	  5.13659E-002	  5.41944E-002	  5.35831E-002	  5.21563E-002	  5.51606E-002	  5.81086E-002	
  3.07200E-001	  5.24746E-002	  5.02084E-002	  5.25453E-002	  5.10390E-002	  5.11396E-002	  5.40903E-002	  5.58248E-002	
  3.32800E-001	  5.17547E-002	  4.98071E-002	  5.22633E-002	  5.14317E-002	  4.93031E-002	  5.27237E-002	  5.49994E-002	
  3.58400E-001	  5.04703E-002	  4.83363E-002	  5.25240E-002	  4.84720E-002	  4.78051E-002	  5.20876E-002	  5.35970E-002	
  3.84000E-001	  4.88209E-002	  4.56851E-002	  4.98041E-002	  4.79527E-002	  4.70804E-002	  5.08303E-002	  5.15730E-002	
  4.09600E-001	  4.78937E-002	  4.48657E-002	  4.83680E-002	  4.71972E-002	  4.58631E-002	  4.95506E-002	  5.15174E-002	
  4.60800E-001	  4.57058E-002	  4.29998E-002	  4.68447E-002	  4.49163E-002	  4.32985E-002	  4.75309E-002	  4.86445E-002	
  5.12000E-001	  4.38863E-002	  4.19501E-002	  4.45547E-002	  4.34950E-002	  4.12623E-002	  4.58248E-002	  4.62307E-002	
  5.63200E-001	  4.21417E-002	  4.10114E-002	  4.24815E-002	  4.09208E-002	  4.03517E-002	  4.35916E-002	  4.44933E-002	
  6.14400E-001	  4.03997E-002	  3.87211E-002	  4.11029E-002	  3.91393E-002	  3.82717E-002	  4.18291E-002	  4.33341E-002	
  6.65600E-001	  3.87459E-002	  3.70367E-002	  3.95471E-002	  3.70545E-002	  3.66757E-002	  4.04050E-002	  4.17566E-002	
  7.16800E-001	  3.75123E-002	  3.63135E-002	  3.78769E-002	  3.62110E-002	  3.49008E-002	  3.95111E-002	  4.02604E-002	
  7.68000E-001	  3.59053E-002	  3.47228E-002	  3.53687E-002	  3.50057E-002	  3.42577E-002	  3.79497E-002	  3.81271E-002	
  8.19200E-001	  3.47271E-002	  3.39013E-002	  3.47308E-002	  3.40181E-002	  3.28699E-002	  3.58393E-002	  3.70029E-002	
  9.21600E-001	  3.25075E-002	  3.16826E-002	  3.26258E-002	  3.18270E-002	  3.11089E-002	  3.34298E-002	  3.43709E-002	
  1.02400E+000	  3.05403E-002	  3.01203E-002	  3.10197E-002	  2.99471E-002	  2.90328E-002	  3.07304E-002	  3.23914E-002	
  1.12640E+000	  2.88230E-002	  2.77865E-002	  2.90241E-002	  2.83340E-002	  2.74001E-002	  2.95897E-002	  3.08035E-002	
  1.22880E+000	  2.72796E-002	  2.60993E-002	  2.69644E-002	  2.71459E-002	  2.65509E-002	  2.75137E-002	  2.94033E-002	
  1.33120E+000	  2.56957E-002	  2.46621E-002	  2.53977E-002	  2.64358E-002	  2.44048E-002	  2.57500E-002	  2.75239E-002	
  1.43360E+000	  2.44572E-002	  2.33994E-002	  2.46010E-002	  2.49453E-002	  2.34682E-002	  2.42701E-002	  2.60594E-002	
  1.53600E+000	  2.30437E-002	  2.21347E-002	  2.26584E-002	  2.35825E-002	  2.18257E-002	  2.29908E-002	  2.50703E-002	
  1.63840E+000	  2.19281E-002	  2.07488E-002	  2.10963E-002	  2.21945E-002	  2.12526E-002	  2.21911E-002	  2.40853E-002	
  1.84320E+000	  2.01743E-002	  1.88040E-002	  1.97085E-002	  2.00747E-002	  1.93123E-002	  2.04310E-002	  2.27150E-002	
  2.04800E+000	  1.85208E-002	  1.72833E-002	  1.80005E-002	  1.82729E-002	  1.79550E-002	  1.86092E-002	  2.10041E-002	
  2.25280E+000	  1.74923E-002	  1.64208E-002	  1.73110E-002	  1.72052E-002	  1.62808E-002	  1.73294E-002	  2.04066E-002	
