ALV-5000/E-WIN Data
Date :	"20-Dec-12"
Time :	"14:37:19"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     500.00000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         6
Mode            :	"DUAL AUTO CH0"
MeanCR0 [kHz]   :	       0.92105
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average(0)"	"Run  1"	"Run  2"	"Run  3"	"Run  4"	"Run  5"	"Run  6"	"Average(1)"	" 1,   0.000"	" 2,   0.000"	" 3,   0.000"	" 4,   0.000"	" 5,   0.000"	" 6,   0.000"	
  4.00000E-004	  5.01729E+000	  5.55227E+000	  4.41274E+000	  5.07610E+000	  6.13762E+000	  4.60522E+000	  4.31981E+000	  7.90326E-001	  9.35262E-001	  7.94945E-001	  8.35147E-001	  6.80433E-001	  7.48578E-001	  7.47589E-001	
  8.00000E-004	  1.89827E+000	  1.68047E+000	  2.34606E+000	  1.47163E+000	  2.01590E+000	  2.56696E+000	  1.30860E+000	  4.69691E-001	  4.60675E-001	  5.34731E-001	  4.31522E-001	  4.72330E-001	  4.77522E-001	  4.41365E-001	
  1.20000E-003	  1.38468E+000	  1.58120E+000	  6.73029E-001	  2.19253E+000	  1.31219E+000	  1.14018E+000	  1.40897E+000	  3.76437E-001	  4.13216E-001	  2.85138E-001	  4.79957E-001	  3.68278E-001	  3.34022E-001	  3.78009E-001	
  1.60000E-003	  1.08127E+000	  8.86258E-001	  8.69856E-001	  1.05970E+000	  6.08478E-001	  1.95548E+000	  1.10785E+000	  4.15398E-001	  3.28845E-001	  4.39142E-001	  4.09995E-001	  3.42265E-001	  5.46615E-001	  4.25526E-001	
  2.00000E-003	  1.20913E+000	  1.58120E+000	  1.55875E+000	  1.26567E+000	  1.81484E+000	  5.28697E-001	  5.05607E-001	  4.24297E-001	  3.18299E-001	  4.71005E-001	  5.06865E-001	  4.20304E-001	  5.04096E-001	  3.25211E-001	
  2.40000E-003	  1.15935E+000	  1.38264E+000	  1.46034E+000	  6.47756E-001	  9.10067E-001	  1.54783E+000	  1.00748E+000	  3.85514E-001	  4.65948E-001	  4.28521E-001	  4.63812E-001	  2.79834E-001	  3.18077E-001	  3.56890E-001	
  2.80000E-003	  9.89882E-001	  1.18409E+000	  1.75558E+000	  7.50741E-001	  1.11113E+000	  7.32523E-001	  4.05233E-001	  3.48082E-001	  3.92123E-001	  2.79828E-001	  3.13125E-001	  3.00645E-001	  4.82837E-001	  3.19932E-001	
  3.20000E-003	  1.10576E+000	  1.08481E+000	  1.75558E+000	  3.38802E-001	  1.41272E+000	  8.34436E-001	  1.20822E+000	  3.42181E-001	  4.60675E-001	  3.70106E-001	  4.20759E-001	  3.05847E-001	  3.55281E-001	  1.40421E-001	
  3.60000E-003	  1.01638E+000	  4.89151E-001	  6.73029E-001	  1.36865E+000	  1.01060E+000	  1.64974E+000	  9.07102E-001	  3.33704E-001	  4.44855E-001	  4.81626E-001	  1.83966E-001	  2.69429E-001	  3.44651E-001	  2.77694E-001	
  4.00000E-003	  8.48208E-001	  6.87705E-001	  7.71442E-001	  2.08954E+000	  4.07418E-001	  4.26783E-001	  7.06354E-001	  3.92345E-001	  4.55402E-001	  4.17900E-001	  2.70072E-001	  4.67127E-001	  3.12762E-001	  4.30806E-001	
  4.40000E-003	  1.33402E+000	  1.28337E+000	  6.73029E-001	  1.47163E+000	  1.21166E+000	  1.95548E+000	  1.40897E+000	  3.40262E-001	  3.55211E-001	  3.27622E-001	  3.66942E-001	  2.79834E-001	  3.23392E-001	  3.88568E-001	
  4.80000E-003	  9.08253E-001	  6.87705E-001	  1.36192E+000	  7.50741E-001	  1.31219E+000	  6.30610E-001	  7.06354E-001	  3.60055E-001	  4.39582E-001	  4.49763E-001	  3.13125E-001	  4.20304E-001	  2.96818E-001	  2.40736E-001	
  5.20000E-003	  1.07550E+000	  1.18409E+000	  1.36192E+000	  5.44772E-001	  1.11113E+000	  1.34400E+000	  9.07102E-001	  3.80136E-001	  4.23763E-001	  4.17900E-001	  4.36904E-001	  2.79834E-001	  3.07448E-001	  4.14967E-001	
  5.60000E-003	  8.42631E-001	  7.86982E-001	  1.26351E+000	  1.16268E+000	  1.01060E+000	  4.26783E-001	  4.05233E-001	  4.24515E-001	  3.28845E-001	  4.60384E-001	  5.39155E-001	  3.42265E-001	  4.45633E-001	  4.30806E-001	
  6.00000E-003	  7.96306E-001	  1.08481E+000	  5.74616E-001	  1.47163E+000	  2.06358E-001	  8.34436E-001	  6.05981E-001	  3.35919E-001	  1.75922E-001	  3.91348E-001	  3.29270E-001	  3.00645E-001	  4.40318E-001	  3.78009E-001	
  6.40000E-003	  8.35519E-001	  6.87705E-001	  8.20649E-001	  1.00820E+000	  6.08478E-001	  5.79653E-001	  1.30843E+000	  3.30980E-001	  3.20935E-001	  4.01945E-001	  3.13125E-001	  2.92841E-001	  4.05772E-001	  2.51263E-001	
  7.20000E-003	  9.87760E-001	  7.37343E-001	  7.71442E-001	  9.05218E-001	  1.06086E+000	  1.34400E+000	  1.10769E+000	  3.30515E-001	  2.65567E-001	  4.17876E-001	  2.45855E-001	  3.78683E-001	  3.44651E-001	  3.30457E-001	
  8.00000E-003	  9.03070E-001	  1.92866E+000	  3.77789E-001	  1.00820E+000	  7.09008E-001	  1.14018E+000	  2.54580E-001	  2.75561E-001	  2.94569E-001	  1.65642E-001	  1.35531E-001	  3.13651E-001	  3.79198E-001	  3.64775E-001	
  8.80000E-003	  9.59056E-001	  1.43228E+000	  1.36192E+000	  1.16268E+000	  3.57153E-001	  8.34436E-001	  6.05862E-001	  3.02124E-001	  3.28845E-001	  3.86026E-001	  2.21637E-001	  2.30410E-001	  3.07448E-001	  3.38377E-001	
  9.60000E-003	  8.51668E-001	  7.37343E-001	  8.69856E-001	  6.99249E-001	  9.10067E-001	  9.36349E-001	  9.57144E-001	  3.51780E-001	  3.60484E-001	  4.09923E-001	  2.80835E-001	  3.52670E-001	  3.41994E-001	  3.64775E-001	
  1.04000E-002	  5.99574E-001	  3.40236E-001	  9.19063E-001	  4.93279E-001	  5.58213E-001	  6.30610E-001	  6.56045E-001	  3.06188E-001	  3.15662E-001	  3.46197E-001	  3.29270E-001	  3.00645E-001	  2.83531E-001	  2.61822E-001	
  1.12000E-002	  8.10960E-001	  8.86258E-001	  8.69856E-001	  1.00820E+000	  7.09008E-001	  9.87305E-001	  4.05129E-001	  2.84007E-001	  3.73667E-001	  2.58575E-001	  2.86217E-001	  2.72030E-001	  2.64929E-001	  2.48623E-001	
  1.20000E-002	  6.34106E-001	  5.38790E-001	  7.71442E-001	  8.53726E-001	  8.09538E-001	  3.75827E-001	  4.55312E-001	  2.88552E-001	  2.89296E-001	  2.69196E-001	  2.35091E-001	  3.63076E-001	  3.23392E-001	  2.51263E-001	
  1.28000E-002	  7.93816E-001	  6.13247E-001	  8.69856E-001	  8.02234E-001	  5.58098E-001	  1.01278E+000	  9.06679E-001	  3.11966E-001	  3.26253E-001	  3.36904E-001	  2.55294E-001	  2.82436E-001	  3.08776E-001	  3.62135E-001	
  1.44000E-002	  6.53294E-001	  9.11078E-001	  3.03979E-001	  1.03395E+000	  5.07836E-001	  7.58001E-001	  4.04921E-001	  2.82235E-001	  2.76156E-001	  3.66112E-001	  2.44531E-001	  2.57723E-001	  2.19753E-001	  3.29137E-001	
  1.60000E-002	  7.09618E-001	  5.13971E-001	  9.68269E-001	  7.76487E-001	  5.83228E-001	  8.85392E-001	  5.30361E-001	  3.04788E-001	  2.69565E-001	  3.13007E-001	  2.75476E-001	  2.83736E-001	  3.38008E-001	  3.48936E-001	
  1.76000E-002	  7.13342E-001	  6.13247E-001	  7.71442E-001	  6.73503E-001	  9.35057E-001	  6.56088E-001	  6.30712E-001	  2.60141E-001	  2.84066E-001	  2.47954E-001	  2.18967E-001	  3.14952E-001	  2.39684E-001	  2.55223E-001	
  1.92000E-002	  6.99382E-001	  8.36620E-001	  9.68269E-001	  6.99249E-001	  6.33489E-001	  5.03218E-001	  5.55449E-001	  2.40057E-001	  2.33969E-001	  3.31594E-001	  1.44958E-001	  2.70730E-001	  2.13109E-001	  2.45984E-001	
  2.08000E-002	  7.71816E-001	  7.12524E-001	  8.94459E-001	  8.02234E-001	  1.06071E+000	  6.30610E-001	  5.30361E-001	  2.57612E-001	  2.66928E-001	  2.83800E-001	  2.17611E-001	  2.70730E-001	  2.11781E-001	  2.94820E-001	
  2.24000E-002	  6.38839E-001	  5.38790E-001	  5.50012E-001	  6.99249E-001	  8.84796E-001	  5.79653E-001	  5.80537E-001	  2.34578E-001	  2.62973E-001	  1.96177E-001	  2.59320E-001	  2.55122E-001	  1.91850E-001	  2.42024E-001	
  2.40000E-002	  6.13171E-001	  7.37343E-001	  5.99219E-001	  6.22010E-001	  6.83751E-001	  7.07044E-001	  3.29658E-001	  2.31152E-001	  2.11558E-001	  2.61230E-001	  2.13575E-001	  2.77233E-001	  1.91850E-001	  2.31465E-001	
  2.56000E-002	  5.29273E-001	  6.00720E-001	  5.13107E-001	  6.22010E-001	  4.45117E-001	  4.39523E-001	  5.55161E-001	  2.42631E-001	  2.55743E-001	  2.46616E-001	  2.20292E-001	  2.37563E-001	  2.37026E-001	  2.58544E-001	
  2.88000E-002	  6.30220E-001	  6.75172E-001	  5.25409E-001	  6.34883E-001	  6.71309E-001	  6.94305E-001	  5.80244E-001	  2.17616E-001	  2.22125E-001	  2.36659E-001	  1.70511E-001	  2.37563E-001	  2.40348E-001	  1.98488E-001	
  3.20000E-002	  5.11983E-001	  6.75172E-001	  6.73029E-001	  7.89360E-001	  4.19984E-001	  1.97479E-001	  3.16870E-001	  2.07249E-001	  2.12896E-001	  2.22719E-001	  2.23655E-001	  2.09599E-001	  2.10452E-001	  1.64170E-001	
  3.52000E-002	  5.71135E-001	  6.87581E-001	  6.11521E-001	  7.50741E-001	  5.83345E-001	  4.14044E-001	  3.79578E-001	  2.09614E-001	  1.79278E-001	  2.64539E-001	  2.10201E-001	  1.89439E-001	  2.11781E-001	  2.02447E-001	
  3.84000E-002	  4.58254E-001	  5.26268E-001	  5.86917E-001	  1.45706E-001	  4.82816E-001	  4.77740E-001	  5.30078E-001	  1.79418E-001	  2.04986E-001	  1.80900E-001	  2.05492E-001	  1.34162E-001	  2.26396E-001	  1.24572E-001	
