ALV-5000/E-WIN Data
Date :	"20-Dec-12"
Time :	"14:26:43"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     500.00000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         6
Mode            :	"DUAL AUTO CH0"
MeanCR0 [kHz]   :	      84.85808
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average(0)"	"Run  1"	"Run  2"	"Run  3"	"Run  4"	"Run  5"	"Run  6"	"Average(1)"	" 1,   0.000"	" 2,   0.000"	" 3,   0.000"	" 4,   0.000"	" 5,   0.000"	" 6,   0.000"	
  9.60000E-003	  1.17158E-001	  1.20994E-001	  1.15826E-001	  1.20441E-001	  1.10785E-001	  1.18441E-001	  1.16463E-001	  6.15689E-002	  7.90562E-002	  6.70378E-002	  6.68948E-002	  3.46943E-002	  4.34455E-002	  7.82850E-002	
  1.04000E-002	  1.12203E-001	  1.17199E-001	  1.09899E-001	  1.08911E-001	  1.13516E-001	  1.11152E-001	  1.12543E-001	  6.63921E-002	  1.07166E-001	  7.45117E-002	  5.02335E-002	  7.05106E-002	  5.53804E-002	  4.05507E-002	
  1.12000E-002	  1.08672E-001	  1.11674E-001	  1.12940E-001	  1.07967E-001	  1.04091E-001	  1.05600E-001	  1.09759E-001	  6.00646E-002	  7.50405E-002	  9.06093E-002	  5.71278E-002	  5.91404E-002	  1.16193E-002	  6.68503E-002	
  1.20000E-002	  1.08088E-001	  1.07554E-001	  1.06142E-001	  1.06408E-001	  1.08024E-001	  1.11605E-001	  1.08795E-001	  6.98923E-002	  9.79870E-002	  8.02608E-002	  7.95344E-002	  5.85719E-002	  2.07125E-002	  8.22871E-002	
  1.28000E-002	  1.06424E-001	  1.05344E-001	  1.03828E-001	  1.05104E-001	  1.08930E-001	  1.07596E-001	  1.07742E-001	  5.78034E-002	  7.27459E-002	  3.51302E-002	  4.13284E-002	  6.05825E-002	  6.50293E-002	  7.20044E-002	
  1.44000E-002	  1.03444E-001	  1.00892E-001	  1.05584E-001	  9.98885E-002	  1.07093E-001	  1.04667E-001	  1.02542E-001	  5.25375E-002	  4.80785E-002	  7.79612E-002	  4.44883E-002	  5.37602E-002	  2.95094E-002	  6.14273E-002	
  1.60000E-002	  9.90387E-002	  9.83425E-002	  9.72508E-002	  9.90880E-002	  9.99130E-002	  1.01764E-001	  9.78737E-002	  5.77107E-002	  8.50796E-002	  6.50256E-002	  3.90303E-002	  5.46130E-002	  5.30946E-002	  4.94208E-002	
  1.76000E-002	  9.50452E-002	  9.49837E-002	  9.33123E-002	  9.78005E-002	  9.52717E-002	  9.40922E-002	  9.48111E-002	  4.61884E-002	  5.06599E-002	  7.42242E-002	  4.62118E-002	  3.32934E-002	  6.04828E-002	  1.22580E-002	
  1.92000E-002	  9.20700E-002	  9.21914E-002	  9.29128E-002	  8.94452E-002	  9.37700E-002	  9.26329E-002	  9.14676E-002	  6.22579E-002	  8.42191E-002	  4.05919E-002	  7.40764E-002	  5.43288E-002	  3.77500E-002	  8.25815E-002	
  2.08000E-002	  8.88499E-002	  8.72921E-002	  8.64519E-002	  8.73393E-002	  8.74966E-002	  9.29012E-002	  9.16184E-002	  4.12198E-002	  3.48843E-002	  1.64455E-002	  6.60330E-002	  6.51307E-002	  4.57065E-002	  1.91188E-002	
  2.24000E-002	  8.62584E-002	  8.59019E-002	  8.57990E-002	  8.97196E-002	  8.62665E-002	  8.42462E-002	  8.56173E-002	  5.37069E-002	  7.61878E-002	  7.19246E-002	  2.95506E-002	  4.52324E-002	  5.79295E-002	  4.14165E-002	
  2.40000E-002	  8.30036E-002	  8.09280E-002	  8.62492E-002	  8.25712E-002	  8.26441E-002	  8.16265E-002	  8.40027E-002	  5.33369E-002	  3.97604E-002	  7.30744E-002	  3.18487E-002	  7.99124E-002	  4.42898E-002	  5.11360E-002	
  2.56000E-002	  8.09518E-002	  8.19137E-002	  8.09523E-002	  8.07456E-002	  8.12412E-002	  8.03606E-002	  8.04973E-002	  4.65431E-002	  4.54846E-002	  6.94812E-002	  2.38134E-002	  4.89195E-002	  4.12979E-002	  5.02618E-002	
  2.88000E-002	  7.67886E-002	  7.61854E-002	  7.77055E-002	  7.59809E-002	  7.65228E-002	  7.72430E-002	  7.70942E-002	  5.35086E-002	  5.60972E-002	  5.95640E-002	  5.29709E-002	  4.73561E-002	  5.38009E-002	  5.12624E-002	
  3.20000E-002	  7.34796E-002	  7.27055E-002	  7.19721E-002	  7.15523E-002	  7.83030E-002	  7.34748E-002	  7.28698E-002	  4.38585E-002	  5.02172E-002	  3.36929E-002	  3.74585E-002	  5.98635E-002	  2.82266E-002	  5.36922E-002	
  3.52000E-002	  7.05653E-002	  7.15954E-002	  7.08015E-002	  7.12740E-002	  7.03264E-002	  7.03043E-002	  6.90903E-002	  3.87052E-002	  5.63840E-002	  1.15588E-002	  1.82118E-002	  2.34783E-002	  6.13311E-002	  6.12676E-002	
  3.84000E-002	  6.61639E-002	  6.56948E-002	  6.65633E-002	  6.38836E-002	  7.02879E-002	  6.48213E-002	  6.57325E-002	  4.88079E-002	  4.72056E-002	  7.59490E-002	  4.19111E-002	  3.65542E-002	  4.96806E-002	  4.15471E-002	
  4.16000E-002	  6.37071E-002	  6.22638E-002	  6.53279E-002	  6.30676E-002	  6.39286E-002	  6.49553E-002	  6.26994E-002	  4.30510E-002	  2.61238E-002	  3.67112E-002	  5.71362E-002	  6.12848E-002	  2.97854E-002	  4.72644E-002	
  4.48000E-002	  6.15515E-002	  6.18158E-002	  6.15359E-002	  6.14287E-002	  6.00184E-002	  6.17381E-002	  6.27723E-002	  2.45849E-002	  2.61278E-002	  1.37147E-002	  1.34719E-002	  3.58436E-002	  2.55231E-002	  3.28283E-002	
  4.80000E-002	  5.86934E-002	  6.04504E-002	  5.83621E-002	  6.02658E-002	  5.80591E-002	  5.76608E-002	  5.73624E-002	  4.27132E-002	  3.17210E-002	  4.28915E-002	  5.25400E-002	  4.39450E-002	  3.23429E-002	  5.28388E-002	
  5.12000E-002	  5.66628E-002	  5.67614E-002	  5.69498E-002	  5.72695E-002	  5.71083E-002	  5.56787E-002	  5.62092E-002	  3.59065E-002	  3.09998E-002	  3.56559E-002	  4.14638E-002	  4.06842E-002	  3.06420E-002	  3.59932E-002	
  5.76000E-002	  5.31063E-002	  5.34027E-002	  5.39452E-002	  5.25201E-002	  5.37788E-002	  5.31382E-002	  5.18527E-002	  2.94462E-002	  4.41939E-002	  2.88291E-002	  2.00628E-002	  2.80345E-002	  3.00737E-002	  2.54834E-002	
  6.40000E-002	  4.95967E-002	  4.99998E-002	  5.12694E-002	  4.85636E-002	  5.01834E-002	  4.90539E-002	  4.85100E-002	  3.40562E-002	  3.65930E-002	  4.72255E-002	  2.37254E-002	  3.48568E-002	  2.69479E-002	  3.49886E-002	
  7.04000E-002	  4.58409E-002	  4.47155E-002	  4.56336E-002	  4.65401E-002	  4.66541E-002	  4.60975E-002	  4.54048E-002	  2.90612E-002	  2.69802E-002	  3.10568E-002	  1.66157E-002	  3.32934E-002	  4.17952E-002	  2.46258E-002	
  7.68000E-002	  4.32571E-002	  4.43252E-002	  4.25221E-002	  4.19627E-002	  4.37169E-002	  4.43665E-002	  4.26493E-002	  2.21121E-002	  1.45750E-002	  2.66774E-002	  2.55926E-002	  2.42680E-002	  1.65051E-002	  2.50546E-002	
  8.32000E-002	  4.11079E-002	  4.17152E-002	  4.13735E-002	  4.00001E-002	  4.23677E-002	  4.08199E-002	  4.03707E-002	  2.66414E-002	  3.75927E-002	  2.76157E-002	  3.01170E-002	  1.87960E-002	  2.46746E-002	  2.10525E-002	
  8.96000E-002	  3.86613E-002	  3.84242E-002	  3.91414E-002	  3.83190E-002	  3.83794E-002	  3.89755E-002	  3.87282E-002	  2.47689E-002	  3.67323E-002	  1.92079E-002	  3.22714E-002	  1.99330E-002	  1.89875E-002	  2.14813E-002	
  9.60000E-002	  3.62677E-002	  3.70393E-002	  3.63444E-002	  3.71373E-002	  3.70258E-002	  3.53100E-002	  3.47491E-002	  2.13176E-002	  4.42614E-002	  1.04408E-002	  3.29218E-002	  1.16184E-002	  9.39717E-003	  1.92658E-002	
  1.02400E-001	  3.47723E-002	  3.45364E-002	  3.59025E-002	  3.50938E-002	  3.57637E-002	  3.43304E-002	  3.30071E-002	  2.69776E-002	  3.19239E-002	  2.25940E-002	  3.30809E-002	  3.20527E-002	  1.84662E-002	  2.37480E-002	
  1.15200E-001	  3.23458E-002	  3.23011E-002	  3.24254E-002	  3.21599E-002	  3.28107E-002	  3.30893E-002	  3.12887E-002	  1.97055E-002	  2.36776E-002	  2.02943E-002	  1.96158E-002	  1.32249E-002	  1.97093E-002	  2.17112E-002	
  1.28000E-001	  2.94645E-002	  2.98661E-002	  2.99082E-002	  2.87854E-002	  2.94524E-002	  2.96328E-002	  2.91421E-002	  1.77646E-002	  1.67221E-002	  1.27126E-002	  1.22549E-002	  2.01537E-002	  1.36356E-002	  3.11090E-002	
  1.40800E-001	  2.77467E-002	  2.80912E-002	  2.71337E-002	  2.80424E-002	  2.71613E-002	  2.83079E-002	  2.77436E-002	  1.65750E-002	  2.44624E-002	  1.95757E-002	  6.47782E-003	  1.62096E-002	  2.18049E-002	  1.09199E-002	
  1.53600E-001	  2.54333E-002	  2.63326E-002	  2.52419E-002	  2.51556E-002	  2.54607E-002	  2.54266E-002	  2.49821E-002	  1.87005E-002	  2.50360E-002	  1.41858E-002	  1.83272E-002	  1.38330E-002	  2.36164E-002	  1.72049E-002	
  1.66400E-001	  2.33983E-002	  2.36556E-002	  2.34381E-002	  2.37965E-002	  2.32795E-002	  2.32937E-002	  2.29268E-002	  1.61767E-002	  1.47861E-002	  1.97553E-002	  3.27260E-002	  5.58957E-003	  1.34265E-002	  1.07770E-002	
