#! time [s],	camera1/temperature_degC,	laser1/line1/measured_power,	laser1/line1/set_power,	laser2/line1/measured_power,	laser2/line1/set_power,	stagex/position,	stagex/velocity,	stagey/position,	stagey/velocity,	stagez/position,	stagez/velocity,	transmission/line1/measured_power,	transmission/line1/set_power
31.741,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
32.302,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
32.927,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
33.493,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
34.093,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
34.693,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
35.309,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
35.884,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
36.473,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
37.071,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
37.666,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
38.223,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
38.783,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
39.373,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
39.974,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
40.567,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
41.127,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
41.733,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
42.322,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
42.943,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
43.513,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
44.103,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
44.709,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
45.294,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
45.872,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
46.447,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
47.012,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
47.619,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
48.212,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
48.804,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
49.404,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
49.991,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
50.602,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
51.225,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
51.821,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
52.416,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
53.015,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
53.605,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
54.209,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
54.805,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
55.411,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
55.997,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
56.588,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
57.183,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
57.784,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
58.384,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
58.98,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
59.569,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
60.165,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
60.773,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
61.356,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
61.955,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
62.547,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
63.146,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
63.742,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
64.345,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
64.948,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
65.526,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
66.132,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
66.724,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
67.333,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
67.921,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
68.51,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
69.113,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
69.743,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
70.333,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
70.939,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
71.531,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
72.131,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
72.759,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
73.354,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
73.955,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
74.513,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
75.074,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
75.623,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
76.223,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
76.788,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
77.336,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
77.894,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
78.448,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
79.006,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
79.563,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
80.115,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
80.713,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
81.276,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
81.831,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
82.389,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
82.944,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
83.51,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
84.062,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
84.615,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
85.181,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
85.733,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
86.292,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
