ALV-5000/E-WIN Data
Date :	"20-Jan-09"
Time :	"11:02:15"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	       0.00000
Angle [°]       :	       0.00000
Duration [s]    :	        10
Runs            :	         6
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	      18.43670
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,  18.014"	" 2,  18.126"	" 3,  18.186"	" 4,  18.347"	" 5,  18.251"	" 6,  18.437"	
  2.24000E-002	  1.09529E-001	  9.70865E-002	  1.22378E-001	  1.16764E-001	  9.98974E-002	  1.18814E-001	  1.02235E-001	
  2.40000E-002	  9.12964E-002	  8.09147E-002	  8.45188E-002	  1.14218E-001	  7.96893E-002	  8.94431E-002	  9.89947E-002	
  2.56000E-002	  9.41648E-002	  9.57142E-002	  7.53435E-002	  1.04240E-001	  9.99161E-002	  1.03532E-001	  8.62429E-002	
  2.88000E-002	  9.64445E-002	  1.22568E-001	  8.74704E-002	  9.55229E-002	  7.87453E-002	  8.98197E-002	  1.04541E-001	
  3.20000E-002	  8.59328E-002	  8.05403E-002	  6.73576E-002	  9.12133E-002	  9.22176E-002	  9.03060E-002	  9.39622E-002	
  3.52000E-002	  8.04444E-002	  6.99585E-002	  7.83013E-002	  8.30838E-002	  8.96194E-002	  9.13757E-002	  7.03276E-002	
  3.84000E-002	  8.07722E-002	  6.74628E-002	  9.55612E-002	  9.13112E-002	  8.50003E-002	  6.21998E-002	  8.30979E-002	
  4.16000E-002	  6.85524E-002	  7.86435E-002	  6.03636E-002	  6.43762E-002	  7.27790E-002	  7.39674E-002	  6.11846E-002	
  4.48000E-002	  7.32157E-002	  5.90772E-002	  8.71808E-002	  7.20159E-002	  6.30597E-002	  7.55235E-002	  8.24369E-002	
  4.80000E-002	  6.37327E-002	  6.31702E-002	  5.70115E-002	  6.35926E-002	  5.96917E-002	  6.27833E-002	  7.61470E-002	
  5.12000E-002	  6.53743E-002	  6.09933E-002	  6.03151E-002	  7.08654E-002	  6.73357E-002	  6.81626E-002	  6.45738E-002	
  5.76000E-002	  5.41459E-002	  5.65511E-002	  6.39628E-002	  4.68225E-002	  4.90055E-002	  4.96362E-002	  5.88974E-002	
  6.40000E-002	  5.42155E-002	  5.40555E-002	  4.88356E-002	  4.42762E-002	  5.80503E-002	  7.39066E-002	  4.61687E-002	
  7.04000E-002	  5.71067E-002	  6.75319E-002	  4.94764E-002	  6.65563E-002	  4.14040E-002	  5.85894E-002	  5.90820E-002	
  7.68000E-002	  4.55321E-002	  4.61753E-002	  4.15341E-002	  5.18661E-002	  4.79893E-002	  4.08468E-002	  4.47810E-002	
  8.32000E-002	  4.26526E-002	  3.84388E-002	  4.45410E-002	  5.07399E-002	  4.58302E-002	  3.52061E-002	  4.11595E-002	
  8.96000E-002	  4.08399E-002	  4.13337E-002	  4.39495E-002	  4.34438E-002	  3.34716E-002	  5.86926E-002	  2.41484E-002	
  9.60000E-002	  3.99381E-002	  3.56936E-002	  2.99992E-002	  4.48148E-002	  3.99783E-002	  4.74113E-002	  4.17313E-002	
  1.02400E-001	  3.90431E-002	  4.37776E-002	  3.68037E-002	  3.95390E-002	  3.75388E-002	  4.23536E-002	  3.42461E-002	
  1.15200E-001	  3.72410E-002	  3.78507E-002	  3.54975E-002	  3.64237E-002	  3.89339E-002	  3.66583E-002	  3.80817E-002	
  1.28000E-001	  3.00450E-002	  3.24290E-002	  2.43387E-002	  2.52838E-002	  3.60774E-002	  3.23975E-002	  2.97435E-002	
  1.40800E-001	  2.74102E-002	  3.21236E-002	  3.29589E-002	  3.21636E-002	  2.78269E-002	  1.84358E-002	  2.09527E-002	
