ALV-5000/E-WIN Data
Date :	"14.01.2011"
Time :	"15:23:50"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         6
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	     268.13739
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1, 266.992"	" 2, 266.543"	" 3, 266.916"	" 4, 266.046"	" 5, 267.830"	" 6, 268.137"	
  2.24000E-002	  4.87585E-002	  4.95664E-002	  4.85439E-002	  4.90764E-002	  4.87523E-002	  4.82791E-002	  4.83331E-002	
  2.40000E-002	  4.86858E-002	  4.95754E-002	  4.83912E-002	  4.84537E-002	  4.93286E-002	  4.74502E-002	  4.89160E-002	
  2.56000E-002	  4.81231E-002	  4.89783E-002	  4.75488E-002	  4.81473E-002	  4.83748E-002	  4.70814E-002	  4.86082E-002	
  2.88000E-002	  4.72931E-002	  4.76593E-002	  4.72555E-002	  4.71611E-002	  4.69139E-002	  4.64964E-002	  4.82726E-002	
  3.20000E-002	  4.61076E-002	  4.64745E-002	  4.61611E-002	  4.63590E-002	  4.62224E-002	  4.50646E-002	  4.63638E-002	
  3.52000E-002	  4.54837E-002	  4.60834E-002	  4.49496E-002	  4.52431E-002	  4.57333E-002	  4.51749E-002	  4.57178E-002	
  3.84000E-002	  4.50450E-002	  4.51778E-002	  4.45392E-002	  4.54135E-002	  4.50991E-002	  4.45278E-002	  4.55126E-002	
  4.16000E-002	  4.40336E-002	  4.47435E-002	  4.43629E-002	  4.35143E-002	  4.42663E-002	  4.34010E-002	  4.39138E-002	
  4.48000E-002	  4.33268E-002	  4.38187E-002	  4.30590E-002	  4.37315E-002	  4.33391E-002	  4.22657E-002	  4.37469E-002	
  4.80000E-002	  4.22395E-002	  4.28598E-002	  4.19350E-002	  4.19004E-002	  4.23102E-002	  4.25054E-002	  4.19259E-002	
  5.12000E-002	  4.17325E-002	  4.24995E-002	  4.12630E-002	  4.20891E-002	  4.18440E-002	  4.10582E-002	  4.16414E-002	
  5.76000E-002	  4.08201E-002	  4.12078E-002	  3.98685E-002	  4.06383E-002	  4.07895E-002	  4.04874E-002	  4.19289E-002	
  6.40000E-002	  3.94178E-002	  4.02602E-002	  3.88290E-002	  3.92524E-002	  3.98691E-002	  3.90088E-002	  3.92870E-002	
  7.04000E-002	  3.87016E-002	  3.94182E-002	  3.81110E-002	  3.88166E-002	  3.86970E-002	  3.78726E-002	  3.92942E-002	
  7.68000E-002	  3.72604E-002	  3.79864E-002	  3.67393E-002	  3.74818E-002	  3.71381E-002	  3.70473E-002	  3.71693E-002	
  8.32000E-002	  3.66717E-002	  3.67722E-002	  3.62037E-002	  3.65831E-002	  3.68302E-002	  3.65659E-002	  3.70750E-002	
  8.96000E-002	  3.55083E-002	  3.60792E-002	  3.48644E-002	  3.58549E-002	  3.54110E-002	  3.54112E-002	  3.54289E-002	
  9.60000E-002	  3.47456E-002	  3.49792E-002	  3.41780E-002	  3.49455E-002	  3.51327E-002	  3.42641E-002	  3.49741E-002	
  1.02400E-001	  3.39850E-002	  3.46875E-002	  3.34159E-002	  3.41186E-002	  3.39468E-002	  3.35971E-002	  3.41441E-002	
  1.15200E-001	  3.26155E-002	  3.34306E-002	  3.24119E-002	  3.26303E-002	  3.27313E-002	  3.20619E-002	  3.24271E-002	
  1.28000E-001	  3.10755E-002	  3.13004E-002	  3.04328E-002	  3.14395E-002	  3.13187E-002	  3.06668E-002	  3.12949E-002	
  1.40800E-001	  2.97951E-002	  3.07397E-002	  2.93800E-002	  2.95446E-002	  2.97746E-002	  2.93965E-002	  2.99351E-002	
  1.53600E-001	  2.87427E-002	  2.94248E-002	  2.80631E-002	  2.88880E-002	  2.90376E-002	  2.82036E-002	  2.88391E-002	
  1.66400E-001	  2.75591E-002	  2.77764E-002	  2.74346E-002	  2.76053E-002	  2.74872E-002	  2.73248E-002	  2.77265E-002	
  1.79200E-001	  2.67904E-002	  2.70273E-002	  2.64940E-002	  2.70599E-002	  2.65051E-002	  2.67652E-002	  2.68905E-002	
  1.92000E-001	  2.58755E-002	  2.64387E-002	  2.54787E-002	  2.60869E-002	  2.58826E-002	  2.51744E-002	  2.61917E-002	
  2.04800E-001	  2.48871E-002	  2.54107E-002	  2.46253E-002	  2.49122E-002	  2.47466E-002	  2.47193E-002	  2.49087E-002	
  2.30400E-001	  2.32758E-002	  2.37665E-002	  2.30962E-002	  2.32473E-002	  2.35026E-002	  2.27719E-002	  2.32704E-002	
  2.56000E-001	  2.18766E-002	  2.23847E-002	  2.15565E-002	  2.14496E-002	  2.18543E-002	  2.16850E-002	  2.23298E-002	
  2.81600E-001	  2.06911E-002	  2.13724E-002	  2.01400E-002	  2.05162E-002	  2.06670E-002	  2.05594E-002	  2.08917E-002	
  3.07200E-001	  1.95672E-002	  1.98938E-002	  1.93546E-002	  1.97125E-002	  1.96037E-002	  1.92641E-002	  1.95745E-002	
  3.32800E-001	  1.85664E-002	  1.86688E-002	  1.85852E-002	  1.84172E-002	  1.84219E-002	  1.83277E-002	  1.89775E-002	
  3.58400E-001	  1.78413E-002	  1.80622E-002	  1.78005E-002	  1.77269E-002	  1.78627E-002	  1.75682E-002	  1.80274E-002	
  3.84000E-001	  1.68287E-002	  1.70882E-002	  1.68686E-002	  1.67972E-002	  1.67649E-002	  1.62823E-002	  1.71710E-002	
  4.09600E-001	  1.61457E-002	  1.63906E-002	  1.62044E-002	  1.61860E-002	  1.61066E-002	  1.55877E-002	  1.63991E-002	
  4.60800E-001	  1.47533E-002	  1.51282E-002	  1.46102E-002	  1.48730E-002	  1.46164E-002	  1.43355E-002	  1.49568E-002	
