ALV-5000/E-WIN Data
Date :	"31-Aug-09"
Time :	"17:30:18"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH1"
MeanCR0 [kHz]   :	     556.68427
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  7.86381E+002	  5.30264E-003
  8.38810E+002	  4.41318E-003
  9.43667E+002	  4.03165E-003
  1.04852E+003	  2.40207E-003
  1.15338E+003	 -5.70309E-004
  1.25824E+003	 -2.58521E-003
  1.36310E+003	 -3.96018E-003
  1.46796E+003	 -3.96245E-003
  1.57281E+003	 -2.74501E-003
  1.67767E+003	 -1.46587E-003
  1.88739E+003	 -6.62380E-004
  2.09710E+003	  1.15506E-004
  2.30682E+003	 -7.54832E-004
  2.51653E+003	 -1.00866E-003
  2.72625E+003	 -2.03548E-004
  2.93596E+003	 -2.99903E-004
  3.14568E+003	 -3.12626E-004
  3.35539E+003	 -4.58348E-004
  3.77482E+003	  1.24435E-003
  4.19425E+003	  6.76803E-004
  4.61368E+003	 -5.55191E-004
  5.03311E+003	  1.17717E-003
  5.45254E+003	  4.72973E-004
  5.87197E+003	 -9.29001E-004
  6.29140E+003	 -8.90292E-004

"Count Rate"
       0.11719	     513.30139
       0.23438	     569.87201
       0.35156	     610.32593
       0.46875	     561.31854
       0.58594	     560.57587
       0.70313	     539.12396
       0.82031	     529.68274
       0.93750	     605.34070
       1.05469	     562.67584
       1.17188	     592.84344
       1.28906	     621.32080
       1.40625	     649.62744
       1.52344	     563.76849
       1.64063	     545.78235
       1.75781	     516.12695
       1.87500	     510.26242
       1.99219	     547.96765
       2.10938	     507.44543
       2.22656	     529.11078
       2.34375	     526.74622
       2.46094	     580.81567
       2.57813	     694.43494
       2.69531	     644.84711
       2.81250	     519.43903
       2.92969	     535.27405
       3.04688	     511.15021
       3.16406	     511.41486
       3.28125	     521.07806
       3.39844	     542.75189
       3.51563	     531.46680
       3.63281	     685.31812
       3.75000	     544.34821
       3.86719	     700.01776
       3.98438	     738.60223
       4.10156	     787.72913
       4.21875	     676.08173
       4.33594	     532.58508
       4.45313	     531.68878
       4.57031	     464.88303
       4.68750	     488.16174
       4.80469	     499.70294
       4.92188	     616.92456
       5.03906	     519.99390
       5.15625	     568.62573
       5.27344	     499.13098
       5.39063	     679.24017
       5.50781	     557.59668
       5.62500	     604.47852
       5.74219	     752.49091
       5.85938	     759.46515
       5.97656	     566.90137
       6.09375	     685.67664
       6.21094	     680.29016
       6.32813	     560.83197
       6.44531	     511.08194
       6.56250	     547.34448
       6.67969	     592.42517
       6.79688	     534.64233
       6.91406	     477.32907
       7.03125	     522.13654
       7.14844	     523.57922
       7.26563	     510.91119
       7.38281	     504.94427
       7.50000	     516.57935
       7.61719	     517.66345
       7.73438	     677.90851
       7.85156	     640.58740
       7.96875	     495.47742
       8.08594	     504.44061
       8.20313	     501.93945
       8.32031	     537.63861
       8.43750	     496.91153
       8.55469	     519.55005
       8.67188	     535.16309
       8.78906	     503.62112
       8.90625	     524.91089
       9.02344	     528.23151
       9.14063	     520.05365
       9.25781	     531.93634
       9.37500	     502.79309
       9.49219	     494.81158
       9.60938	     474.46936
       9.72656	     514.34283
       9.84375	     532.55945
       9.96094	     537.12646
      10.07813	     501.98215
      10.19531	     513.80505
      10.31250	     551.80048
      10.42969	     524.20233
      10.54688	     512.01239
      10.66406	     516.37451
      10.78125	     486.76178
      10.89844	     488.50320
      11.01563	     526.95105
      11.13281	     494.48718
      11.25000	     515.39282
      11.36719	     562.17218
      11.48438	     531.91925
      11.60156	     542.63239
      11.71875	     536.11060
      11.83594	     467.36710
      11.95313	     553.99432
      12.07031	     603.56512
      12.18750	     591.73370
      12.30469	     519.60980
      12.42188	     650.49817
      12.53906	     580.87543
      12.65625	     583.70947
      12.77344	     595.09705
      12.89063	     609.09668
      13.00781	     559.12469
      13.12500	     596.81287
      13.24219	     642.91785
      13.35938	     506.66861
      13.47656	     532.66193
      13.59375	     510.08316
      13.71094	     523.60480
      13.82813	     517.94519
      13.94531	     505.43085
      14.06250	     477.49124
      14.17969	     494.35916
      14.29688	     505.94302
      14.41406	     483.79111
      14.53125	     506.87350
      14.64844	     501.68338
      14.76563	     512.31116
      14.88281	     513.93311
      15.00000	     504.01379
      15.11719	     492.16531
      15.23438	     481.44360
      15.35156	     500.18951
      15.46875	     500.50534
      15.58594	     497.96152
      15.70313	     530.91193
      15.82031	     549.05176
      15.93750	     527.15594
      16.05469	     502.08456
      16.17188	     487.69223
      16.28906	     512.06360
