ALV-5000/E-WIN Data
Date :	"11.02.2013"
Time :	"15:01:50"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	       0.00000
Angle [°]       :	       0.00000
Duration [s]    :	        60
Runs            :	         5
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	     123.59176
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1, 125.471"	" 2, 124.904"	" 3, 123.333"	" 4, 122.813"	" 5, 123.592"	
  2.30682E+003	  3.82285E-005	  4.08945E-005	  1.64540E-005	  9.50967E-005	  3.74103E-006	  3.49563E-005	
  2.51653E+003	  1.90402E-005	  4.20103E-005	 -1.27830E-005	  4.62272E-005	  9.54418E-007	  1.87922E-005	
  2.72625E+003	  2.69527E-005	  3.62432E-005	  2.75347E-005	  4.03864E-005	  6.26464E-006	  2.43347E-005	
  2.93596E+003	  1.99614E-005	  4.88285E-005	  2.96816E-005	  3.44023E-005	  3.90132E-006	 -1.70068E-005	
  3.14568E+003	  4.28229E-005	  9.06580E-005	 -2.26483E-006	  1.10516E-004	 -2.03282E-006	  1.72387E-005	
  3.35539E+003	  3.06888E-005	  4.90717E-005	  3.32637E-005	  8.49400E-005	 -1.87326E-005	  4.90139E-006	
  3.77482E+003	  1.53037E-005	  2.77252E-005	  1.37342E-005	  6.01534E-005	 -2.43723E-005	 -7.22108E-007	
  4.19425E+003	  2.00734E-005	  3.03535E-005	  1.57010E-005	  3.99569E-005	  9.59444E-006	  4.76123E-006	
  4.61368E+003	  1.68324E-005	  2.00308E-005	 -4.90685E-006	  4.93015E-005	  1.45144E-005	  5.22214E-006	
  5.03311E+003	  2.04857E-005	  6.08769E-005	  1.14405E-005	  2.67182E-005	 -2.31437E-006	  5.70756E-006	
  5.45254E+003	  2.66999E-005	  3.92925E-005	  9.13159E-006	  5.84956E-005	  1.30839E-005	  1.34957E-005	
  5.87197E+003	  2.37266E-005	  3.43109E-005	  1.04435E-005	  6.20732E-005	  1.00589E-005	  1.74671E-006	
  6.29140E+003	  2.94716E-005	  6.32498E-005	  2.54440E-005	  4.02451E-005	 -3.04542E-006	  2.14646E-005	
  6.71083E+003	  2.89153E-005	  6.59556E-005	  3.76788E-005	  3.64842E-005	  2.72877E-006	  1.72898E-006	
  7.54970E+003	  1.28602E-005	  1.69654E-005	  1.43475E-006	  4.41073E-005	 -6.43492E-007	  2.43701E-006	
  8.38856E+003	  1.38828E-005	  3.83129E-005	  6.50759E-006	  2.03029E-005	  4.81610E-006	 -5.25460E-007	
  9.22742E+003	  1.96008E-005	  5.56955E-005	  1.02829E-005	  3.55341E-005	 -1.33210E-005	  9.81249E-006	
  1.00663E+004	  1.71140E-005	  3.24433E-005	 -3.58161E-006	  3.40456E-005	  1.88158E-005	  3.84677E-006	
  1.09051E+004	  5.33365E-006	  1.88289E-005	  5.42908E-006	  2.02431E-005	 -7.39258E-006	 -1.04402E-005	
  1.17440E+004	  1.55823E-005	  3.09701E-005	  1.18901E-005	  2.89729E-005	 -7.63118E-006	  1.37097E-005	
  1.25829E+004	  2.12788E-005	  3.89118E-005	  1.84035E-005	  3.77344E-005	 -1.35928E-006	  1.27036E-005	

"Count Rate"
       0.23438	     124.34526
       0.46875	     121.34472
       0.70313	     119.50939
       0.93750	     120.55937
       1.17188	     124.82756
       1.40625	     123.14590
       1.64063	     122.33921
       1.87500	     125.60011
       2.10938	     120.43559
       2.34375	     124.84891
       2.57813	     124.78488
       2.81250	     119.02282
       3.04688	     122.85139
       3.28125	     120.31609
       3.51563	     125.06232
       3.75000	     124.11050
       3.98438	     123.81600
       4.21875	     123.50443
       4.45313	     120.71729
       4.68750	     121.75446
       4.92188	     126.09521
       5.15625	     125.86900
       5.39063	     120.83680
       5.62500	     121.29350
       5.85938	     123.42760
       6.09375	     122.55688
       6.32813	     126.76532
       6.56250	     121.39167
       6.79688	     123.64101
       7.03125	     121.42581
       7.26563	     122.68066
       7.50000	     125.32267
       7.73438	     124.75073
       7.96875	     123.34223
       8.20313	     120.78986
       8.43750	     125.33974
       8.67188	     127.40555
       8.90625	     121.70325
       9.14063	     122.07458
       9.37500	     120.58498
       9.60938	     122.96663
       9.84375	     120.60205
      10.07813	     124.30257
      10.31250	     120.29047
      10.54688	     122.49713
      10.78125	     125.02817
      11.01563	     123.67515
      11.25000	     120.49108
      11.48438	     121.16119
      11.71875	     122.76603
      11.95313	     121.68617
      12.18750	     121.56239
      12.42188	     123.86295
      12.65625	     122.23677
      12.89063	     124.04221
      13.12500	     124.82756
      13.35938	     121.52825
      13.59375	     123.72210
      13.82813	     124.87025
      14.06250	     125.70255
      14.29688	     126.59032
      14.53125	     120.68742
      14.76563	     126.38119
      15.00000	     123.98246
      15.23438	     120.93070
      15.46875	     126.14217
      15.70313	     120.58498
      15.93750	     122.59103
      16.17188	     120.08987
      16.40625	     122.91541
      16.64063	     122.84712
      16.87500	     125.50620
      17.10938	     122.12153
      17.34375	     124.59281
      17.57813	     123.24833
      17.81250	     121.57093
      18.04688	     122.17274
      18.28125	     126.98300
      18.51563	     123.69650
      18.75000	     122.88126
      18.98438	     122.30080
      19.21875	     121.80141
      19.45313	     120.38438
      19.68750	     123.80746
      19.92188	     121.37033
      20.15625	     122.87273
      20.39063	     124.96841
      20.62500	     124.32819
      20.85938	     125.92022
      21.09375	     127.07690
      21.32813	     120.63193
      21.56250	     121.75020
      21.79688	     124.17027
      22.03125	     123.06053
      22.26563	     121.13557
      22.50000	     119.12526
      22.73438	     123.95258
      22.96875	     124.90012
      23.20313	     127.58055
      23.43750	     120.73009
      23.67188	     123.89709
      23.90625	     123.16724
      24.14063	     125.39523
      24.37500	     121.57947
      24.60938	     122.50993
      24.84375	     121.17399
      25.07813	     122.24104
      25.31250	     123.05199
      25.54688	     126.29155
      25.78125	     123.55991
      26.01563	     128.47687
      26.25000	     125.60011
      26.48438	     127.63177
      26.71875	     127.23483
      26.95313	     122.41177
      27.18750	     121.97641
      27.42188	     125.67693
      27.65625	     124.74647
      27.89063	     125.10500
      28.12500	     124.58001
      28.35938	     121.31911
      28.59375	     123.44467
      28.82813	     123.76479
      29.06250	     125.98425
      29.29688	     124.61842
      29.53125	     122.98370
      29.76563	     123.28674
      30.00000	     119.33867
      30.23438	     125.56169
      30.46875	     125.15195
      30.70313	     125.72815
      30.93750	     124.31965
      31.17188	     125.19463
      31.40625	     121.60934
      31.64063	     126.15070
      31.87500	     121.19960
      32.10938	     125.45926
      32.34375	     123.00932
      32.57813	     121.59227
      32.81250	     125.36962
      33.04688	     123.10748
      33.28125	     123.69222
      33.51563	     124.46477
      33.75000	     121.23374
      33.98438	     123.13309
      34.21875	     121.50264
      34.45313	     124.98975
      34.68750	     126.41533
      34.92188	     124.98122
      35.15625	     123.92271
      35.39063	     128.31468
      35.62500	     122.18555
      35.85938	     123.97820
      36.09375	     123.05199
      36.32813	     123.15443
      36.56250	     119.91487
      36.79688	     127.51653
      37.03125	     124.81049
      37.26563	     121.31911
      37.50000	     120.83253
      37.73438	     125.15195
      37.96875	     122.68920
      38.20313	     124.71232
      38.43750	     123.79039
      38.67188	     125.90314
      38.90625	     121.19533
      39.14063	     122.95383
      39.37500	     123.95258
      39.60938	     123.82880
      39.84375	     123.92271
      40.07813	     123.83734
      40.31250	     122.28372
      40.54688	     123.85868
      40.78125	     120.28621
      41.01563	     124.25562
      41.25000	     126.24887
      41.48438	     122.24531
      41.71875	     121.66056
      41.95313	     126.02266
      42.18750	     124.86597
      42.42188	     125.66413
      42.65625	     121.95080
      42.89063	     124.28977
      43.12500	     122.36055
      43.35938	     125.18609
      43.59375	     124.00807
      43.82813	     124.39220
      44.06250	     126.67569
      44.29688	     121.29777
      44.53125	     128.57504
      44.76563	     123.29528
      45.00000	     120.94778
      45.23438	     124.81902
      45.46875	     123.44894
      45.70313	     125.39950
      45.93750	     124.46049
      46.17188	     124.53306
      46.40625	     125.82632
      46.64063	     123.67088
      46.87500	     123.47455
      47.10938	     121.16972
      47.34375	     120.83680
      47.57813	     124.26416
      47.81250	     127.35433
      48.04688	     127.70006
      48.28125	     120.03865
      48.51563	     123.58979
      48.75000	     126.70984
      48.98438	     125.05804
      49.21875	     123.95686
      49.45313	     123.19711
      49.68750	     123.44040
      49.92188	     124.95561
      50.15625	     124.49891
      50.39063	     123.12029
      50.62500	     125.16475
      50.85938	     121.13557
      51.09375	     126.67142
      51.32813	     122.50993
      51.56250	     124.75500
      51.79688	     127.45677
      52.03125	     126.76532
      52.26563	     123.05199
      52.50000	     121.44715
      52.73438	     122.13433
      52.96875	     124.93854
      53.20313	     124.28123
      53.43750	     124.23002
      53.67188	     124.46049
      53.90625	     123.02638
      54.14063	     122.72762
      54.37500	     125.38670
      54.60938	     121.75446
      54.84375	     125.95437
      55.07813	     124.16599
      55.31250	     124.76354
      55.54688	     123.19711
      55.78125	     124.48184
      56.01563	     122.61664
      56.25000	     125.58303
      56.48438	     124.97695
      56.71875	     124.32391
      56.95313	     121.82703
      57.18750	     122.07458
      57.42188	     125.05804
      57.65625	     123.96539
      57.89063	     123.65808
      58.12500	     122.55262
      58.35938	     121.84409
      58.59375	     123.75198
      58.82813	     124.93427
      59.06250	     125.95437
      59.29688	     124.13612
      59.53125	     124.66110
      59.76563	     121.15265
