#! time [s],	camera1/temperature_degC,	laser1/line1/measured_power,	laser1/line1/set_power,	laser2/line1/measured_power,	laser2/line1/set_power,	stagex/position,	stagex/velocity,	stagey/position,	stagey/velocity,	stagez/position,	stagez/velocity,	transmission/line1/measured_power,	transmission/line1/set_power
31.239,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
31.786,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
32.345,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
32.909,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
33.461,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
34.07,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
34.658,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
35.207,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
35.81,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
36.363,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
36.918,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
37.483,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
38.092,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
38.704,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
39.301,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
39.86,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
40.419,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
40.967,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
41.578,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
42.137,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
42.723,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
43.319,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
43.879,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
44.443,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
44.994,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
45.591,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
46.151,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
46.707,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
47.311,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
47.93,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
48.489,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
49.091,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
49.653,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
50.251,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
50.837,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
51.423,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
51.994,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
52.582,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
53.156,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
53.755,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
54.339,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
54.9,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
55.49,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
