ALV-5000/E-WIN Data
ALV-5000/EPP-WIN Data
Date :	"4/16/2010"
Time :	"12:10:15 PM"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	       0.00000
Angle [°]       :	       0.00000
Duration [s]    :	         5
Runs            :	         5
Mode            :	"SINGLE AUTO CH1"
MeanCR0 [kHz]   :	       0.73985
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,   1.554"	" 2,   1.204"	" 3,   1.124"	" 4,   0.877"	" 5,   0.740"	
  2.00000E-002	  1.22332E-001	  4.00599E-002	  3.16554E-001	  1.91609E-001	  6.96843E-001	 -6.33408E-001	
  2.20000E-002	 -8.83507E-002	 -1.26350E-001	  2.47262E-001	 -5.23356E-001	  4.42110E-002	 -8.35203E-002	
  2.40000E-002	  1.72753E-001	  8.16623E-002	  3.16554E-001	  3.27280E-002	 -2.16842E-001	  6.49664E-001	
  2.60000E-002	 -9.19279E-002	 -8.47473E-002	 -2.37784E-001	  3.27280E-002	 -8.63154E-002	 -8.35203E-002	
  2.80000E-002	  5.63913E-002	 -1.67952E-001	  3.93849E-002	 -2.05594E-001	 -2.16842E-001	  8.32959E-001	
  3.00000E-002	 -1.65485E-002	 -1.54252E-003	  1.08677E-001	  3.27280E-002	  4.42110E-002	 -2.66816E-001	
  3.20000E-002	  4.06594E-002	  1.23265E-001	 -9.91997E-002	  1.91609E-001	 -2.10522E-002	  8.67494E-003	
  3.60000E-002	  1.17337E-002	 -1.26350E-001	  2.81908E-001	  7.24483E-002	 -8.63154E-002	 -8.30228E-002	
  4.00000E-002	  2.35389E-001	  1.64867E-001	 -9.91997E-002	  3.10770E-001	 -2.16842E-001	  1.01735E+000	
  4.40000E-002	 -5.71836E-002	 -3.75964E-001	  2.12616E-001	  3.27280E-002	 -3.47368E-001	  1.92070E-001	
  4.80000E-002	 -2.27283E-002	  1.92587E-002	  4.73876E-003	 -8.64329E-002	 -1.51579E-001	  1.00373E-001	
  5.20000E-002	 -3.14354E-002	 -1.67952E-001	  4.73876E-003	 -1.26153E-001	 -1.51579E-001	  2.83768E-001	
  5.60000E-002	 -3.67537E-002	 -2.23437E-002	  2.12616E-001	 -1.65874E-001	 -2.16842E-001	  8.67494E-003	
  6.00000E-002	 -1.17829E-001	 -1.05549E-001	 -3.76369E-001	  3.10770E-001	 -1.51579E-001	 -2.66418E-001	
  6.40000E-002	 -1.19397E-002	 -5.34232E-002	  3.86918E-002	 -2.72000E-002	 -1.18140E-001	  1.00373E-001	
  7.20000E-002	 -2.52516E-002	 -1.57443E-001	 -1.17112E-001	 -2.65437E-001	  1.75814E-001	  2.37919E-001	
  8.00000E-002	  6.52440E-002	  1.13008E-001	  2.11807E-001	  3.23592E-002	 -8.54781E-002	  5.45238E-002	
  8.80000E-002	  1.10127E-001	 -5.34232E-002	  7.33148E-002	 -7.34694E-003	  2.08475E-001	  3.29617E-001	
  9.60000E-002	  1.21624E-001	 -1.18154E-002	  5.60033E-002	  5.22122E-002	  2.73798E-001	  2.37919E-001	
  1.04000E-001	 -1.04138E-001	 -1.05433E-001	  4.06871E-003	 -1.26465E-001	 -1.18140E-001	 -1.74720E-001	
  1.12000E-001	  1.84115E-001	  1.75420E-001	  3.50299E-001	  1.11771E-001	  4.51679E-002	  2.37919E-001	
  1.20000E-001	 -5.76723E-003	  7.14002E-002	 -3.05544E-002	  9.19184E-002	 -2.16124E-001	  5.45238E-002	
  1.28000E-001	 -1.64061E-002	 -5.97211E-003	  3.03796E-002	 -9.63630E-002	 -1.33677E-001	  1.23602E-001	
  1.44000E-001	  1.45228E-002	  6.68886E-002	  8.23315E-002	 -3.67826E-002	 -2.91108E-003	 -3.69126E-002	
  1.60000E-001	  1.72566E-002	 -7.67770E-004	  7.36729E-002	  1.02239E-001	 -5.19482E-002	 -3.69126E-002	
  1.76000E-001	  7.67691E-002	 -2.15851E-002	  2.38187E-001	  1.12169E-001	  4.61261E-002	  8.94874E-003	
  1.92000E-001	  5.53758E-002	  1.70975E-001	  2.17210E-002	 -6.99232E-003	  1.34346E-002	  7.77407E-002	
  2.08000E-001	 -7.13720E-002	 -7.67770E-004	 -1.51452E-001	 -7.65029E-002	 -6.82940E-002	 -5.98432E-002	
  2.24000E-001	 -3.03670E-003	 -7.67770E-004	 -4.75483E-002	  1.02239E-001	 -1.00985E-001	  3.18794E-002	
  2.40000E-001	  1.59543E-002	 -7.67770E-004	 -1.34135E-001	 -3.67826E-002	  1.27855E-001	  1.23602E-001	
  2.56000E-001	 -1.10812E-002	  4.85378E-002	 -5.21938E-002	 -2.02729E-003	  1.02073E-001	 -1.51796E-001	
  2.88000E-001	 -1.28332E-002	  6.93525E-002	 -1.32428E-002	 -4.17476E-002	 -5.28166E-002	 -2.57117E-002	
  3.20000E-001	 -2.60403E-002	 -6.07391E-002	  3.43639E-002	 -1.19574E-002	  3.70026E-002	 -1.28872E-001	
  3.52000E-001	  4.81859E-002	  1.63018E-001	 -8.91494E-003	 -6.65728E-002	  1.67649E-001	 -1.42495E-002	
  3.84000E-001	  1.95602E-002	 -8.96954E-004	  4.73475E-002	 -4.17476E-002	  6.14987E-002	  3.15994E-002	
  4.16000E-001	  3.09519E-002	  3.55287E-002	  1.29577E-001	 -1.69224E-002	 -3.64858E-002	  4.30616E-002	
  4.48000E-001	 -5.64698E-002	 -1.39061E-002	 -2.59176E-004	  2.27979E-002	 -2.07959E-001	 -8.30228E-002	
  4.80000E-001	  6.70986E-002	 -3.45959E-002	  2.13802E-002	  1.96574E-001	  2.88372E-002	  1.23297E-001	
  5.12000E-001	 -9.83790E-003	 -8.02461E-002	  1.50577E-002	  4.07331E-002	 -1.25704E-001	  1.00970E-001	
  5.76000E-001	  2.29751E-002	  1.74615E-002	  3.67007E-002	  5.56362E-002	  7.03994E-002	 -6.53222E-002	
  6.40000E-001	  3.44452E-002	  9.51424E-003	  5.83437E-002	 -8.94389E-003	  2.95444E-002	  8.37675E-002	
  7.04000E-001	 -2.41165E-003	  1.29353E-001	  5.40151E-002	 -9.09109E-002	  9.45988E-004	 -1.05462E-001	
  7.68000E-001	 -3.66428E-003	  3.16584E-002	  4.31936E-002	 -1.63954E-002	  4.58864E-002	 -1.22664E-001	
  8.32000E-001	 -3.00702E-004	 -5.44354E-002	  8.73297E-003	 -4.86855E-002	  9.11698E-003	  8.37675E-002	
  8.96000E-001	 -1.36761E-002	  1.71982E-002	 -7.80073E-002	  3.47536E-003	 -3.17380E-002	  2.06911E-002	
  9.60000E-001	  8.01364E-003	  1.06861E-002	 -1.95712E-002	  7.79909E-002	 -4.39944E-002	  1.49568E-002	
  1.02400E+000	  1.96447E-002	  4.00334E-002	  3.34058E-002	  2.65217E-002	  3.38668E-002	 -3.56043E-002	
  1.15200E+000	 -2.93148E-003	  5.51673E-002	 -2.85006E-002	  2.27979E-002	 -2.53864E-002	 -3.87356E-002	
  1.28000E+000	 -3.33186E-004	 -3.80892E-002	 -3.17498E-002	 -3.43000E-002	  5.22558E-002	  5.02172E-002	
  1.40800E+000	  1.51631E-003	  2.13881E-002	 -1.44209E-002	  2.40392E-002	 -6.21643E-002	  3.87394E-002	
  1.53600E+000	  2.06409E-002	  8.99575E-003	  2.56521E-002	  4.84898E-002	 -3.56025E-002	  5.56695E-002	
  1.66400E+000	  1.12329E-004	  1.61703E-002	 -3.28328E-002	 -3.58857E-002	  1.75211E-002	  3.55888E-002	
  1.79200E+000	  2.24951E-002	  1.61703E-002	  4.51471E-002	  7.54286E-003	  9.69552E-002	 -5.33399E-002	
  1.92000E+000	  1.78630E-003	 -6.65771E-003	  3.55723E-002	 -5.30881E-002	 -8.28065E-002	  1.15911E-001	
  2.01600E+000	 -9.71709E-003	  2.98857E-002	 -4.75752E-003	 -4.82455E-002	 -2.18257E-002	 -3.64241E-003	
  2.27200E+000	 -2.50811E-003	 -3.19279E-003	  1.94770E-002	 -3.60825E-002	 -2.93816E-003	  1.01959E-002	
  2.52800E+000	  2.13393E-002	  5.24681E-002	  3.65801E-002	  1.68265E-002	 -4.36954E-002	  4.45173E-002	
  2.78400E+000	  1.01611E-002	 -7.96373E-003	  2.40218E-002	 -9.32394E-003	  5.07421E-002	 -6.67093E-003	
  3.04000E+000	  1.80372E-004	  5.71295E-003	 -1.06731E-002	 -3.85060E-003	 -7.13541E-003	  1.68480E-002	
  3.29600E+000	 -9.18262E-003	 -5.81848E-004	 -1.17194E-002	 -1.80090E-002	 -4.49020E-002	  2.92992E-002	
  3.55200E+000	 -8.64739E-003	  2.46218E-004	 -1.24020E-002	 -9.32394E-003	 -1.50863E-002	 -6.67093E-003	
  3.80800E+000	  2.88500E-003	  3.54075E-002	 -1.27658E-002	 -8.54322E-003	  5.12684E-002	 -5.09419E-002	
  4.06400E+000	  7.07621E-004	  7.74565E-003	 -7.24550E-003	 -3.56888E-003	 -2.47204E-004	  6.85403E-003	
  4.57600E+000	  1.49979E-002	  1.61522E-002	 -1.35922E-002	  5.25718E-003	  3.60984E-002	  3.10739E-002	
  5.08800E+000	  5.64955E-003	  1.67890E-002	  2.18934E-003	 -1.74280E-003	 -6.22182E-003	  1.72340E-002	
  5.60000E+000	  2.09617E-002	  3.82272E-002	  2.02728E-002	  5.43237E-003	  3.60984E-002	  4.77804E-003	
  6.11200E+000	  5.41775E-003	  3.89952E-002	 -2.23420E-002	  2.71701E-002	 -2.91245E-002	  1.23900E-002	
