ALV-5000/E-WIN Data
Date :	"10-Jan-11"
Time :	"14:17:18"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         6
Mode            :	"SINGLE AUTO CH1"
MeanCR0 [kHz]   :	      38.35171
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,  40.131"	" 2,  41.900"	" 3,  37.794"	" 4,  37.770"	" 5,  38.086"	" 6,  38.352"	
  2.24000E-002	  1.51994E-001	  1.70288E-001	  1.85751E-001	  1.31865E-001	  1.45748E-001	  1.37630E-001	  1.40683E-001	
  2.40000E-002	  1.52626E-001	  1.74784E-001	  1.82701E-001	  1.36318E-001	  1.38245E-001	  1.42940E-001	  1.40768E-001	
  2.56000E-002	  1.46933E-001	  1.70437E-001	  1.80313E-001	  1.33569E-001	  1.30706E-001	  1.33963E-001	  1.32608E-001	
  2.88000E-002	  1.38681E-001	  1.58448E-001	  1.66828E-001	  1.24092E-001	  1.22777E-001	  1.28862E-001	  1.31082E-001	
  3.20000E-002	  1.33970E-001	  1.51320E-001	  1.64460E-001	  1.20212E-001	  1.27227E-001	  1.19523E-001	  1.21079E-001	
  3.52000E-002	  1.29340E-001	  1.45808E-001	  1.58471E-001	  1.17781E-001	  1.16164E-001	  1.18480E-001	  1.19339E-001	
  3.84000E-002	  1.23687E-001	  1.42759E-001	  1.54353E-001	  1.10103E-001	  1.12008E-001	  1.11050E-001	  1.11848E-001	
  4.16000E-002	  1.16880E-001	  1.32342E-001	  1.45369E-001	  1.05636E-001	  1.06521E-001	  1.05996E-001	  1.05419E-001	
  4.48000E-002	  1.15335E-001	  1.35131E-001	  1.44018E-001	  9.93621E-002	  1.05623E-001	  1.02950E-001	  1.04927E-001	
  4.80000E-002	  1.12266E-001	  1.27469E-001	  1.44131E-001	  1.01132E-001	  9.95987E-002	  9.98329E-002	  1.01431E-001	
  5.12000E-002	  1.08344E-001	  1.25365E-001	  1.36688E-001	  9.70928E-002	  9.61854E-002	  9.79998E-002	  9.67354E-002	
  5.76000E-002	  1.01666E-001	  1.18462E-001	  1.23977E-001	  9.12779E-002	  9.22243E-002	  8.94731E-002	  9.45844E-002	
  6.40000E-002	  9.58698E-002	  1.15425E-001	  1.23366E-001	  8.39900E-002	  8.22930E-002	  8.29648E-002	  8.71798E-002	
  7.04000E-002	  9.09648E-002	  1.12949E-001	  1.19146E-001	  7.55854E-002	  7.54374E-002	  8.13091E-002	  8.13617E-002	
  7.68000E-002	  8.60401E-002	  1.05664E-001	  1.12015E-001	  7.24630E-002	  7.38890E-002	  7.67623E-002	  7.54473E-002	
  8.32000E-002	  7.99027E-002	  9.54406E-002	  1.01466E-001	  6.62780E-002	  7.38964E-002	  7.25772E-002	  6.97585E-002	
  8.96000E-002	  7.80294E-002	  9.49607E-002	  1.01596E-001	  6.71376E-002	  7.04566E-002	  6.62688E-002	  6.77573E-002	
  9.60000E-002	  7.35421E-002	  8.60525E-002	  1.00152E-001	  6.49005E-002	  6.31174E-002	  6.28759E-002	  6.41544E-002	
