ALV-5000/E-WIN Data
Date :	"10-Jan-11"
Time :	"15:19:45"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         6
Mode            :	"SINGLE CROSS CH0"
MeanCR0 [kHz]   :	      13.46968
MeanCR1 [kHz]   :	      63.82358

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,  13.463"	" 2,  13.727"	" 3,  13.476"	" 4,  13.510"	" 5,  13.687"	" 6,  13.470"	
  2.24000E-002	  9.31852E-002	  9.30419E-002	  9.89190E-002	  9.28401E-002	  8.43047E-002	  9.67872E-002	  9.32184E-002	
  2.40000E-002	  9.50242E-002	  1.02195E-001	  9.83959E-002	  9.09150E-002	  1.02460E-001	  8.10333E-002	  9.51470E-002	
  2.56000E-002	  9.11342E-002	  9.25939E-002	  8.89551E-002	  9.53918E-002	  9.36286E-002	  8.63348E-002	  8.99010E-002	
  2.88000E-002	  9.15298E-002	  9.08128E-002	  9.19391E-002	  8.56306E-002	  9.09286E-002	  9.25792E-002	  9.72886E-002	
  3.20000E-002	  9.03368E-002	  8.92393E-002	  9.41265E-002	  8.58650E-002	  9.34820E-002	  8.66088E-002	  9.26990E-002	
  3.52000E-002	  9.05682E-002	  9.21583E-002	  8.46396E-002	  9.20105E-002	  9.52535E-002	  8.85036E-002	  9.08436E-002	
  3.84000E-002	  8.95607E-002	  9.21212E-002	  9.27831E-002	  7.94851E-002	  9.64386E-002	  8.75238E-002	  8.90126E-002	
  4.16000E-002	  8.79898E-002	  9.14506E-002	  8.79327E-002	  9.00608E-002	  8.78132E-002	  8.33291E-002	  8.73525E-002	
  4.48000E-002	  8.97068E-002	  8.85810E-002	  9.30328E-002	  8.03119E-002	  9.32866E-002	  9.36252E-002	  8.94032E-002	
  4.80000E-002	  8.85044E-002	  9.24648E-002	  8.70649E-002	  8.39770E-002	  9.10481E-002	  8.56767E-002	  9.07947E-002	
  5.12000E-002	  8.98730E-002	  9.00237E-002	  8.94497E-002	  8.68438E-002	  8.77582E-002	  9.22073E-002	  9.29552E-002	
  5.76000E-002	  8.88287E-002	  8.65109E-002	  9.32334E-002	  8.78373E-002	  8.49605E-002	  8.80423E-002	  9.23876E-002	
  6.40000E-002	  8.58575E-002	  8.47050E-002	  8.35683E-002	  8.26172E-002	  8.91998E-002	  8.62131E-002	  8.88417E-002	
  7.04000E-002	  8.40794E-002	  8.66717E-002	  8.14938E-002	  8.66773E-002	  8.25660E-002	  7.92331E-002	  8.78346E-002	
  7.68000E-002	  8.60868E-002	  8.75808E-002	  8.54169E-002	  8.42029E-002	  8.80786E-002	  8.75570E-002	  8.36845E-002	
  8.32000E-002	  8.64870E-002	  8.82796E-002	  8.49744E-002	  8.67108E-002	  8.27336E-002	  9.17398E-002	  8.44840E-002	
  8.96000E-002	  8.16057E-002	  8.26888E-002	  8.29237E-002	  8.00098E-002	  8.22388E-002	  7.91199E-002	  8.26530E-002	
  9.60000E-002	  8.18502E-002	  8.00666E-002	  8.07065E-002	  8.37058E-002	  8.26420E-002	  8.29750E-002	  8.10052E-002	
  1.02400E-001	  8.07760E-002	  8.18544E-002	  8.07494E-002	  7.91245E-002	  7.99137E-002	  8.37354E-002	  7.92789E-002	
  1.15200E-001	  8.00409E-002	  7.96708E-002	  7.80954E-002	  7.98896E-002	  8.08727E-002	  8.16049E-002	  8.01120E-002	
  1.28000E-001	  7.87857E-002	  8.08428E-002	  7.73702E-002	  7.79494E-002	  8.01641E-002	  7.79206E-002	  7.84672E-002	
  1.40800E-001	  7.90934E-002	  7.61643E-002	  7.72276E-002	  8.06028E-002	  7.93823E-002	  8.12484E-002	  7.99350E-002	
  1.53600E-001	  7.72244E-002	  7.75611E-002	  7.83926E-002	  7.52042E-002	  7.60929E-002	  7.75124E-002	  7.85832E-002	
  1.66400E-001	  7.62790E-002	  7.74131E-002	  7.45528E-002	  7.49420E-002	  7.22931E-002	  7.77507E-002	  8.07223E-002	
  1.79200E-001	  7.45818E-002	  7.55114E-002	  7.49065E-002	  7.26315E-002	  7.53565E-002	  7.32789E-002	  7.58063E-002	
  1.92000E-001	  7.32825E-002	  7.37210E-002	  7.15927E-002	  7.05991E-002	  7.43241E-002	  7.81559E-002	  7.13021E-002	
  2.04800E-001	  7.25768E-002	  7.29608E-002	  7.14659E-002	  7.13388E-002	  7.19629E-002	  7.54549E-002	  7.22776E-002	
  2.30400E-001	  7.11013E-002	  7.07177E-002	  7.25672E-002	  7.03360E-002	  7.06695E-002	  6.98436E-002	  7.24740E-002	
  2.56000E-001	  6.91510E-002	  7.07745E-002	  7.12686E-002	  6.68359E-002	  6.82854E-002	  6.86135E-002	  6.91280E-002	
  2.81600E-001	  6.70938E-002	  6.80378E-002	  6.60295E-002	  6.76875E-002	  6.60773E-002	  6.71224E-002	  6.76083E-002	
  3.07200E-001	  6.51560E-002	  6.49888E-002	  6.23101E-002	  6.47964E-002	  6.59681E-002	  6.75008E-002	  6.53719E-002	
  3.32800E-001	  6.36374E-002	  6.51496E-002	  6.34984E-002	  6.15288E-002	  6.26426E-002	  6.30730E-002	  6.59322E-002	
  3.58400E-001	  6.15912E-002	  6.28752E-002	  6.14657E-002	  5.86445E-002	  5.98755E-002	  6.12661E-002	  6.54200E-002	
  3.84000E-001	  5.98845E-002	  5.90130E-002	  5.99769E-002	  6.03786E-002	  6.02752E-002	  5.90585E-002	  6.06046E-002	
  4.09600E-001	  5.85599E-002	  6.05816E-002	  5.76257E-002	  5.80588E-002	  5.82040E-002	  5.76020E-002	  5.92871E-002	
  4.60800E-001	  5.62818E-002	  5.68917E-002	  5.44874E-002	  5.54012E-002	  5.67238E-002	  5.49244E-002	  5.92622E-002	
  5.12000E-001	  5.34722E-002	  5.44854E-002	  5.36323E-002	  5.02882E-002	  5.29048E-002	  5.30715E-002	  5.64512E-002	
  5.63200E-001	  5.13302E-002	  5.29182E-002	  5.11927E-002	  5.14742E-002	  5.00610E-002	  5.09856E-002	  5.13494E-002	
  6.14400E-001	  4.89451E-002	  4.72288E-002	  5.10712E-002	  4.68999E-002	  4.88481E-002	  4.86256E-002	  5.09969E-002	
  6.65600E-001	  4.74662E-002	  4.73009E-002	  4.72399E-002	  4.71880E-002	  4.78395E-002	  4.47928E-002	  5.04358E-002	
  7.16800E-001	  4.54955E-002	  4.60502E-002	  4.58173E-002	  4.37952E-002	  4.63396E-002	  4.30602E-002	  4.79107E-002	
  7.68000E-001	  4.37014E-002	  4.33659E-002	  4.24365E-002	  4.27230E-002	  4.34169E-002	  4.32810E-002	  4.69849E-002	
  8.19200E-001	  4.26380E-002	  4.23245E-002	  4.26730E-002	  4.16634E-002	  4.28914E-002	  4.11373E-002	  4.51387E-002	
  9.21600E-001	  3.99953E-002	  3.99437E-002	  3.99946E-002	  4.03558E-002	  3.91899E-002	  3.94250E-002	  4.10626E-002	
