ALV-5000/E-WIN Data
Date :	"10-Jan-11"
Time :	"11:32:28"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         6
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	      38.69208
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,  38.674"	" 2,  38.742"	" 3,  38.762"	" 4,  38.702"	" 5,  38.700"	" 6,  38.692"	
  2.24000E-002	  2.72117E-002	  2.60993E-002	  3.06654E-002	  2.27120E-002	  2.58983E-002	  3.50547E-002	  2.28408E-002	
  2.40000E-002	  2.62567E-002	  1.80170E-002	  3.27908E-002	  2.36758E-002	  2.43570E-002	  2.52184E-002	  3.34813E-002	
  2.56000E-002	  2.54747E-002	  2.24264E-002	  2.73821E-002	  2.61632E-002	  2.18199E-002	  2.65681E-002	  2.84887E-002	
  2.88000E-002	  2.26257E-002	  2.38436E-002	  2.39702E-002	  2.57441E-002	  1.92488E-002	  2.04382E-002	  2.25096E-002	
  3.20000E-002	  2.23410E-002	  2.38226E-002	  2.25858E-002	  2.40478E-002	  1.76794E-002	  2.38215E-002	  2.20890E-002	
  3.52000E-002	  2.08269E-002	  1.66524E-002	  2.23971E-002	  2.67996E-002	  2.42029E-002	  1.51543E-002	  1.97549E-002	
  3.84000E-002	  1.98765E-002	  2.01884E-002	  1.48951E-002	  2.25532E-002	  2.09801E-002	  1.68569E-002	  2.37853E-002	
  4.16000E-002	  1.93072E-002	  1.96341E-002	  2.13134E-002	  1.64908E-002	  1.85280E-002	  2.08857E-002	  1.89908E-002	
  4.48000E-002	  1.86785E-002	  1.74241E-002	  1.80833E-002	  2.07443E-002	  1.85140E-002	  1.84124E-002	  1.88927E-002	
  4.80000E-002	  1.69378E-002	  1.93885E-002	  2.14742E-002	  1.58902E-002	  1.28322E-002	  1.63875E-002	  1.56543E-002	
  5.12000E-002	  1.72668E-002	  1.79879E-002	  2.16331E-002	  1.77080E-002	  1.21035E-002	  1.63561E-002	  1.78122E-002	
  5.76000E-002	  1.60348E-002	  1.53193E-002	  1.60819E-002	  1.63390E-002	  1.63727E-002	  1.48680E-002	  1.72278E-002	
  6.40000E-002	  1.53730E-002	  1.89640E-002	  1.64114E-002	  1.26513E-002	  1.42858E-002	  1.69797E-002	  1.29460E-002	
  7.04000E-002	  1.44013E-002	  1.50106E-002	  1.47334E-002	  1.62832E-002	  1.25203E-002	  1.32626E-002	  1.45976E-002	
  7.68000E-002	  1.39102E-002	  1.50492E-002	  1.36287E-002	  1.02696E-002	  1.79989E-002	  1.22852E-002	  1.42296E-002	
  8.32000E-002	  1.32690E-002	  1.39328E-002	  1.47780E-002	  1.50854E-002	  1.35572E-002	  1.11641E-002	  1.10964E-002	
  8.96000E-002	  1.28361E-002	  1.38661E-002	  1.21387E-002	  1.57768E-002	  1.15570E-002	  1.33843E-002	  1.02938E-002	
  9.60000E-002	  1.22220E-002	  1.49887E-002	  9.79652E-003	  1.09113E-002	  1.34871E-002	  1.24910E-002	  1.16571E-002	
  1.02400E-001	  1.17510E-002	  1.26910E-002	  8.94704E-003	  1.10414E-002	  1.31894E-002	  1.29193E-002	  1.17176E-002	
  1.15200E-001	  1.04246E-002	  8.89110E-003	  1.12000E-002	  9.31454E-003	  1.36869E-002	  1.12491E-002	  8.20589E-003	
  1.28000E-001	  9.65348E-003	  1.03092E-002	  8.19110E-003	  8.25291E-003	  1.17348E-002	  9.25036E-003	  1.01825E-002	
  1.40800E-001	  9.26999E-003	  8.84199E-003	  1.11362E-002	  8.51832E-003	  7.98580E-003	  9.29502E-003	  9.84257E-003	
  1.53600E-001	  9.52462E-003	  1.04600E-002	  9.00297E-003	  8.59515E-003	  9.93695E-003	  1.13437E-002	  7.80898E-003	
  1.66400E-001	  8.79007E-003	  1.00882E-002	  6.82165E-003	  8.29918E-003	  7.59698E-003	  8.04780E-003	  1.18867E-002	
  1.79200E-001	  7.88065E-003	  8.96038E-003	  7.21492E-003	  9.18358E-003	  6.64592E-003	  6.44760E-003	  8.83147E-003	
  1.92000E-001	  6.17953E-003	  5.51301E-003	  4.54944E-003	  7.38771E-003	  6.09158E-003	  9.09183E-003	  4.44362E-003	
  2.04800E-001	  6.86573E-003	  5.60506E-003	  5.51341E-003	  8.52793E-003	  7.77655E-003	  8.09153E-003	  5.67992E-003	
  2.30400E-001	  6.44728E-003	  7.59228E-003	  6.66611E-003	  6.11304E-003	  7.90966E-003	  5.25272E-003	  5.14984E-003	
  2.56000E-001	  5.56114E-003	  6.07948E-003	  4.82388E-003	  4.66726E-003	  5.39111E-003	  6.42205E-003	  5.98308E-003	
  2.81600E-001	  4.92823E-003	  4.67807E-003	  3.65720E-003	  5.47396E-003	  4.25880E-003	  5.01886E-003	  6.48248E-003	
  3.07200E-001	  5.10819E-003	  5.85761E-003	  6.28246E-003	  3.94785E-003	  3.27800E-003	  4.92601E-003	  6.35720E-003	
  3.32800E-001	  4.25818E-003	  4.25888E-003	  4.08891E-003	  4.23422E-003	  3.80605E-003	  5.40512E-003	  3.75588E-003	
  3.58400E-001	  4.33070E-003	  5.05867E-003	  5.03187E-003	  2.55969E-003	  3.95316E-003	  5.80191E-003	  3.57889E-003	
  3.84000E-001	  3.63327E-003	  1.70158E-003	  4.49616E-003	  4.26653E-003	  3.49955E-003	  3.94149E-003	  3.89431E-003	
  4.09600E-001	  4.01255E-003	  2.88473E-003	  4.68332E-003	  2.97750E-003	  5.21160E-003	  4.50352E-003	  3.81466E-003	
  4.60800E-001	  3.44679E-003	  3.72616E-003	  3.88284E-003	  2.12062E-003	  4.17433E-003	  3.78703E-003	  2.98976E-003	
  5.12000E-001	  2.95816E-003	  2.82201E-003	  2.65633E-003	  2.32273E-003	  3.22507E-003	  4.07301E-003	  2.64981E-003	
  5.63200E-001	  2.87069E-003	  2.35153E-003	  3.42360E-003	  1.98224E-003	  3.68220E-003	  2.37904E-003	  3.40549E-003	
  6.14400E-001	  2.27802E-003	  2.83651E-003	  2.37888E-003	  1.89145E-003	  2.14533E-003	  2.54108E-003	  1.87485E-003	
  6.65600E-001	  2.88955E-003	  4.07085E-003	  3.86623E-003	  1.87266E-003	  3.85250E-003	  1.45630E-003	  2.21873E-003	
  7.16800E-001	  1.89301E-003	  1.48991E-003	  1.34900E-003	  2.35984E-003	  1.77269E-003	  2.41365E-003	  1.97298E-003	
  7.68000E-001	  1.87980E-003	  1.87316E-003	  8.03265E-004	  1.55880E-003	  2.64969E-003	  1.61527E-003	  2.77860E-003	
