ALV-5000/E-WIN Data
Date :	"10-Jan-11"
Time :	"14:38:43"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         6
Mode            :	"DUAL AUTO CH1"
MeanCR0 [kHz]   :	      11.02682
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average(0)"	"Run  1"	"Run  2"	"Run  3"	"Run  4"	"Run  5"	"Run  6"	"Average(1)"	" 1,   0.000"	" 2,   0.000"	" 3,   0.000"	" 4,   0.000"	" 5,   0.000"	" 6,   0.000"	
  9.60000E-003	  3.63695E-003	  1.92841E-002	 -2.92212E-002	  5.95411E-002	 -3.30638E-002	 -3.66481E-002	  4.19297E-002	  2.02944E-001	  2.02687E-001	  1.68028E-001	  2.28550E-001	  2.31770E-001	  2.04181E-001	  1.82448E-001	
  1.04000E-002	  1.28702E-002	 -3.53902E-002	 -3.10157E-002	 -1.45527E-002	  8.11267E-002	  3.01537E-002	  4.68992E-002	  1.93161E-001	  1.93280E-001	  2.08956E-001	  1.68757E-001	  2.12826E-001	  1.69589E-001	  2.05558E-001	
  1.12000E-002	  2.90725E-002	  1.13011E-001	 -1.48659E-002	 -2.19621E-002	  5.61362E-003	  7.05863E-002	  2.20519E-002	  2.07196E-001	  1.97513E-001	  1.90066E-001	  2.34572E-001	  2.14438E-001	  1.88422E-001	  2.18163E-001	
  1.20000E-002	  3.54415E-002	 -1.78163E-002	  4.25554E-002	  8.36216E-002	  2.03479E-002	 -2.25846E-002	  1.06525E-001	  1.96110E-001	  2.10683E-001	  1.88717E-001	  1.87684E-001	  2.07989E-001	  1.71126E-001	  2.10460E-001	
  1.28000E-002	  1.44346E-002	 -3.54043E-002	 -3.19129E-002	 -1.35985E-002	  8.94070E-002	  6.26903E-002	  1.54260E-002	  1.87948E-001	  1.95619E-001	  1.80854E-001	  1.85976E-001	  2.07780E-001	  1.52101E-001	  2.05361E-001	
  1.44000E-002	  2.08408E-002	  2.12218E-002	  6.66706E-003	 -1.82295E-002	  1.75780E-002	  4.51106E-002	  5.26969E-002	  1.94244E-001	  1.88329E-001	  2.06041E-001	  1.77372E-001	  2.01129E-001	  2.04565E-001	  1.88029E-001	
  1.60000E-002	  3.53391E-002	 -1.29491E-002	  4.79386E-002	  2.99329E-002	  1.57362E-002	  2.40151E-002	  1.07361E-001	  2.01827E-001	  2.01733E-001	  2.19759E-001	  1.74146E-001	  2.05764E-001	  2.12252E-001	  1.97307E-001	
  1.76000E-002	  2.55315E-002	  4.75822E-002	  1.29475E-002	 -6.18888E-003	  5.71761E-002	  1.96201E-002	  2.20519E-002	  1.87825E-001	  2.17960E-001	  1.68486E-001	  1.87481E-001	  1.93068E-001	  1.82081E-001	  1.77875E-001	
  1.92000E-002	  4.83716E-002	  1.18853E-001	  1.38447E-002	  1.07734E-001	  1.92296E-003	  2.66520E-002	  2.12237E-002	  1.82234E-001	  1.69515E-001	  1.78605E-001	  1.91998E-001	  1.94478E-001	  1.77084E-001	  1.81726E-001	
  2.08000E-002	  3.44684E-002	  3.19612E-002	  6.67800E-002	  1.41875E-002	  2.31033E-002	  7.31438E-003	  6.34641E-002	  1.91487E-001	  2.04556E-001	  2.07390E-001	  1.94579E-001	  1.83394E-001	  1.85155E-001	  1.73848E-001	
